split;method;alpha;train_MAE;val_MAE;train_R2;val_R2
strict;hubert;0,001000;0,086891;0,104023;0,442700;0,181162
strict;hubert;0,003000;0,086890;0,104023;0,442700;0,181165
strict;hubert;0,010000;0,086890;0,104022;0,442700;0,181180
strict;hubert;0,030000;0,086890;0,104020;0,442700;0,181215
strict;hubert;0,100000;0,086890;0,104012;0,442699;0,181346
strict;hubert;0,300000;0,086890;0,103988;0,442697;0,181715
strict;hubert;1;0,086890;0,103910;0,442677;0,182945
strict;hubert;3;0,086897;0,103707;0,442526;0,186133
strict;hubert;10;0,086973;0,103158;0,441413;0,194637
strict;hubert;30;0,087296;0,102278;0,437213;0,208784
strict;hubert;100;0,088163;0,101027;0,425922;0,228886
strict;hubert;300;0,089374;0,099887;0,409621;0,246427
strict;hubert;1.000;0,091028;0,098956;0,387158;0,259810
strict;hubert;3.000;0,092860;0,098642;0,362580;0,263530
strict;hubert;10.000;0,095367;0,099203;0,329374;0,254934
strict;hubert;30.000;0,098258;0,100859;0,290048;0,232655
strict;hubert;100.000;0,102336;0,103904;0,234498;0,193239
strict;wav2vec2;0,001000;0,086377;0,108110;0,446987;0,110157
strict;wav2vec2;0,003000;0,086377;0,108110;0,446987;0,110162
strict;wav2vec2;0,010000;0,086377;0,108107;0,446987;0,110228
strict;wav2vec2;0,030000;0,086378;0,108094;0,446987;0,110450
strict;wav2vec2;0,100000;0,086379;0,108053;0,446983;0,111201
strict;wav2vec2;0,300000;0,086385;0,107939;0,446953;0,113241
strict;wav2vec2;1;0,086416;0,107596;0,446683;0,119369
strict;wav2vec2;3;0,086551;0,106893;0,445260;0,131895
strict;wav2vec2;10;0,087023;0,105656;0,439649;0,153916
strict;wav2vec2;30;0,087888;0,104337;0,428617;0,176801
strict;wav2vec2;100;0,089344;0,102952;0,409658;0,199780
strict;wav2vec2;300;0,091156;0,101908;0,385910;0,216961
strict;wav2vec2;1.000;0,093541;0,101230;0,353511;0,228406
strict;wav2vec2;3.000;0,096001;0,101335;0,319496;0,227932
strict;wav2vec2;10.000;0,098826;0,102270;0,280597;0,215537
strict;wav2vec2;30.000;0,101378;0,103617;0,245320;0,197583
strict;wav2vec2;100.000;0,104687;0,105909;0,199741;0,167874
strict;wavlm;0,001000;0,085831;0,101780;0,453645;0,222013
strict;wavlm;0,003000;0,085831;0,101778;0,453645;0,222052
strict;wavlm;0,010000;0,085831;0,101777;0,453645;0,222067
strict;wavlm;0,030000;0,085831;0,101774;0,453645;0,222114
strict;wavlm;0,100000;0,085831;0,101763;0,453645;0,222275
strict;wavlm;0,300000;0,085831;0,101733;0,453642;0,222726
strict;wavlm;1;0,085833;0,101632;0,453609;0,224235
strict;wavlm;3;0,085851;0,101382;0,453374;0,227962
strict;wavlm;10;0,085975;0,100778;0,451767;0,236945
strict;wavlm;30;0,086414;0,099912;0,446353;0,249548
strict;wavlm;100;0,087439;0,098945;0,433330;0,264093
strict;wavlm;300;0,088788;0,098216;0,415841;0,274470
strict;wavlm;1.000;0,090466;0,097728;0,393079;0,281698
strict;wavlm;3.000;0,092169;0,097582;0,369705;0,283911
strict;wavlm;10.000;0,094370;0,098035;0,339581;0,277485
strict;wavlm;30.000;0,096983;0,099437;0,304295;0,257463
strict;wavlm;100.000;0,101139;0,102563;0,249509;0,214829
strict;egemaps;0,001000;0,102141;0,106923;0,230496;0,122278
strict;egemaps;0,003000;0,102140;0,106921;0,230496;0,122346
strict;egemaps;0,010000;0,102140;0,106917;0,230495;0,122474
strict;egemaps;0,030000;0,102139;0,106907;0,230491;0,122820
strict;egemaps;0,100000;0,102139;0,106880;0,230458;0,123792
strict;egemaps;0,300000;0,102144;0,106837;0,230328;0,125369
strict;egemaps;1;0,102158;0,106783;0,230038;0,127394
strict;egemaps;3;0,102173;0,106722;0,229773;0,129521
strict;egemaps;10;0,102198;0,106595;0,229397;0,133712
strict;egemaps;30;0,102264;0,106386;0,228399;0,140652
strict;egemaps;100;0,102484;0,106109;0,225264;0,149987
strict;egemaps;300;0,102901;0,105965;0,219536;0,156002
strict;egemaps;1.000;0,103666;0,106036;0,209597;0,158105
strict;egemaps;3.000;0,104754;0,106363;0,195327;0,155158
strict;egemaps;10.000;0,106567;0,107251;0,171119;0,143533
strict;egemaps;30.000;0,108911;0,108820;0,138673;0,122378
strict;egemaps;100.000;0,112153;0,111570;0,091250;0,084325
