epoch,n_runs,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,gap_mean,gap_std,train_val_gap_mean,train_val_gap_std,n
1,10,0.10799400526779195,0.00035312379148217396,0.10296108648180957,0.0012111442184701772,-0.005032918785982378,0.000967811934677783,-0.005032918785982378,0.000967811934677783,10
2,10,0.09981713761497696,0.00046058021010672915,0.100444733351469,0.0011917506419004127,0.0006275957364920398,0.0009938897876115996,0.0006275957364920398,0.0009938897876115996,10
3,10,0.09695408226083707,0.00026374062147215395,0.09901138991117472,0.0009112519023098211,0.00205730765033766,0.0008824445527007519,0.00205730765033766,0.0008824445527007519,10
4,10,0.09471225303841244,0.000352976864283177,0.09984753206372257,0.0012212684196257497,0.005135279025310117,0.0015244799085372149,0.005135279025310117,0.0015244799085372149,10
5,10,0.09324654715482111,0.0004120723746693984,0.0986896678805351,0.0012672143812295132,0.0054431207257139725,0.0013427992608792605,0.0054431207257139725,0.0013427992608792605,10
6,10,0.09163686194509824,0.0006437880778461877,0.09934152439236636,0.001418236554534395,0.007704662447268131,0.0012218269019772454,0.007704662447268131,0.0012218269019772454,10
7,10,0.09019928930422684,0.000576306962748132,0.0990106418728828,0.001061033327327618,0.008811352568655971,0.0011281725869608141,0.008811352568655971,0.0011281725869608141,10
8,10,0.08873716445684908,0.0005527685223803377,0.09931638911366458,0.001274896622682274,0.010579224656815506,0.001631642704274833,0.010579224656815506,0.001631642704274833,10
9,9,0.08748875485856429,0.0003740860377706813,0.10084408770004905,0.001981997194152114,0.013355332841484747,0.0020660388111837747,0.013355332841484747,0.0020660388111837747,9
10,9,0.08624529674890224,0.00046870104450118363,0.09990643213192618,0.0011791863087053515,0.013661135383023933,0.001417064387442822,0.013661135383023933,0.001417064387442822,9
11,5,0.08457803440021694,0.0006562150699304966,0.10152811706066127,0.001296848064547686,0.016950082660444322,0.0013306441088980624,0.016950082660444322,0.0013306441088980624,5
12,2,0.0831860855643479,0.0005429146716942872,0.10277236253023145,0.0007588856175750351,0.019586276965883553,0.0002159709458807478,0.019586276965883553,0.0002159709458807478,2
13,1,0.0830838088036547,,0.1015074029564857,,0.018423594152831013,,0.018423594152831013,,1
