number,value,learning_rate,r,lora_alpha,lora_dropout,weight_decay,warmup_ratio
41,0.9029641821980476,0.00018323185191611416,8,64,0.05,0.01990595122422978,0.0
18,0.9029528722167015,0.00023003109715021564,8,32,0.05,0.0036725031700217434,0.0
42,0.902867816388607,0.00017497098465506388,8,64,0.05,0.018159265986391615,0.0
31,0.9028475135564804,0.0001741662183598834,8,64,0.05,0.009797141531899079,0.0
24,0.9028188288211823,0.00021800993446902697,8,64,0.05,0.001800048932369112,0.0
33,0.9028008431196213,0.00017499240623784106,8,64,0.05,0.019610221050137874,0.0
32,0.9027984887361526,0.00018032130694329454,8,64,0.05,0.01971525522905382,0.0
20,0.9027946442365646,0.00021992849763565598,8,64,0.05,0.005414058201690377,0.0
25,0.9027918428182602,0.000160893955849915,8,64,0.05,0.009881180539172373,0.0
27,0.9027539566159248,0.0001713943119240088,8,64,0.05,0.000600644989225615,0.0
23,0.9027321562170982,0.00022488062580055168,8,64,0.05,0.002163992066902662,0.0
13,0.9026670381426811,0.00029854541609775943,4,32,0.0,0.002887410598711304,0.0
49,0.9026594310998917,0.00014513988103738256,8,64,0.05,0.005463851538254367,0.0
43,0.9026402086019516,0.0001993898411972848,8,64,0.05,0.014607407807833135,0.0
30,0.902635470032692,0.00024407639258203724,8,64,0.05,0.004192317293480451,0.0
21,0.9025352150201797,0.00022683949727203586,8,64,0.05,0.005219754576262371,0.0
19,0.9024579003453255,0.0001685004117153162,8,32,0.05,0.0013011406264549638,0.0
2,0.902398519217968,0.00025305525892573504,4,32,0.0,0.003116037615666865,0.1
26,0.902388758957386,0.00013211829650491301,8,64,0.05,0.004215733863989446,0.03
16,0.9022709056735039,0.00014653867789443266,4,32,0.0,0.017020522244809586,0.0
8,0.9022674486041069,0.000256262267608854,4,16,0.0,0.0001478262035558581,0.0
11,0.9021354764699936,0.0002751914415109942,4,16,0.0,0.0001310054671209171,0.05
1,0.9021310955286026,0.0001016436906561294,4,16,0.15,0.007233619949447476,0.08
6,0.9020546153187752,0.00019846883330703027,4,32,0.1,0.0006370553894948335,0.0
0,0.9020190462470055,0.00012816842992683473,4,64,0.15,0.015177021393917542,0.0
9,0.9019606113433838,0.00019339553103594638,4,64,0.1,0.001358798508266401,0.03
7,0.9019104242324829,0.00019154249833572368,8,64,0.15,0.0007805947859163245,0.1
5,0.9017256796360016,6.405638623469674e-05,16,16,0.0,0.0014259536642673354,0.03
3,0.9016745090484619,7.078141236027314e-05,16,32,0.1,0.006013742266783056,0.08
4,0.9013643637299538,6.777577972027804e-05,8,32,0.0,0.00010339503569942701,0.08
