module_name,module_type
encoder.layers.0.attention.k_proj,Linear
encoder.layers.0.attention.v_proj,Linear
encoder.layers.0.attention.q_proj,Linear
encoder.layers.0.attention.out_proj,Linear
encoder.layers.1.attention.k_proj,Linear
encoder.layers.1.attention.v_proj,Linear
encoder.layers.1.attention.q_proj,Linear
encoder.layers.1.attention.out_proj,Linear
encoder.layers.2.attention.k_proj,Linear
encoder.layers.2.attention.v_proj,Linear
encoder.layers.2.attention.q_proj,Linear
encoder.layers.2.attention.out_proj,Linear
encoder.layers.3.attention.k_proj,Linear
encoder.layers.3.attention.v_proj,Linear
encoder.layers.3.attention.q_proj,Linear
encoder.layers.3.attention.out_proj,Linear
encoder.layers.4.attention.k_proj,Linear
encoder.layers.4.attention.v_proj,Linear
encoder.layers.4.attention.q_proj,Linear
encoder.layers.4.attention.out_proj,Linear
encoder.layers.5.attention.k_proj,Linear
encoder.layers.5.attention.v_proj,Linear
encoder.layers.5.attention.q_proj,Linear
encoder.layers.5.attention.out_proj,Linear
encoder.layers.6.attention.k_proj,Linear
encoder.layers.6.attention.v_proj,Linear
encoder.layers.6.attention.q_proj,Linear
encoder.layers.6.attention.out_proj,Linear
encoder.layers.7.attention.k_proj,Linear
encoder.layers.7.attention.v_proj,Linear
encoder.layers.7.attention.q_proj,Linear
encoder.layers.7.attention.out_proj,Linear
encoder.layers.8.attention.k_proj,Linear
encoder.layers.8.attention.v_proj,Linear
encoder.layers.8.attention.q_proj,Linear
encoder.layers.8.attention.out_proj,Linear
encoder.layers.9.attention.k_proj,Linear
encoder.layers.9.attention.v_proj,Linear
encoder.layers.9.attention.q_proj,Linear
encoder.layers.9.attention.out_proj,Linear
encoder.layers.10.attention.k_proj,Linear
encoder.layers.10.attention.v_proj,Linear
encoder.layers.10.attention.q_proj,Linear
encoder.layers.10.attention.out_proj,Linear
encoder.layers.11.attention.k_proj,Linear
encoder.layers.11.attention.v_proj,Linear
encoder.layers.11.attention.q_proj,Linear
encoder.layers.11.attention.out_proj,Linear
