clip_id,split,pc1,pc2
--Ymqszjv54.001,train,-6.968412,2.3535972
--Ymqszjv54.003,train,0.0528581,8.351102
--Ymqszjv54.004,train,1.5186179,5.571774
--Ymqszjv54.005,train,0.8996313,9.362459
-2qsCrkXdWs.001,train,-6.038754,-4.6744723
-55DRRMTppE.000,train,13.036602,-9.200932
-55DRRMTppE.005,train,13.192559,-12.626891
-5riMLK-PgU.001,train,11.105526,11.898245
-6otZ7M-Mro.000,train,-9.057496,-0.41814187
-6otZ7M-Mro.001,train,-10.24225,2.8571439
-8asrRvfJWA.003,train,4.6350694,-8.348579
-8asrRvfJWA.004,train,11.677524,-2.8072305
-9BZ8A9U7TE.000,train,-2.7615204,-4.876317
-9BZ8A9U7TE.003,train,2.537893,-6.1710143
-9BZ8A9U7TE.004,train,-1.7563106,-6.040255
-AmMDnVl4s8.003,train,9.986446,-3.4263494
-C5M9g4Quzc.002,train,16.668957,5.8247557
-DOqN0d8KHw.002,train,-9.257051,2.0068603
-DOqN0d8KHw.003,train,-6.5015435,2.2907195
-Gl98Jn45Fs.000,train,2.845117,-2.3140912
-Gl98Jn45Fs.001,train,-0.7924247,-8.467253
-Gl98Jn45Fs.003,train,-2.9066863,-8.673611
-IK--4uz5ZY.000,train,-8.062048,-1.1208333
-IK--4uz5ZY.002,train,-6.9940653,-0.107462116
-IK--4uz5ZY.003,train,-5.9573355,-1.2025716
-IK--4uz5ZY.004,train,-7.834699,-1.591141
-N6QKrbnaDs.005,train,-0.7486622,12.311928
-NwfYYf5xLo.005,train,4.6627355,-5.536806
-OXMbG7ZwRk.000,train,-11.838524,5.4148736
-OXMbG7ZwRk.003,train,-11.907799,1.7118728
-OXMbG7ZwRk.004,train,-11.895874,4.6322603
-OXMbG7ZwRk.005,train,-13.37147,5.193328
-Osv5l1vrNU.001,train,6.1542587,-12.912809
-Osv5l1vrNU.004,train,5.3643937,-13.506533
-R2SZu3SYgM.000,train,-11.998591,1.4076355
-R2SZu3SYgM.004,train,-9.191163,2.5926354
-RhPxhfpg4U.001,train,-5.51554,8.063673
-RhPxhfpg4U.003,train,-7.6054134,2.0874896
-RhPxhfpg4U.005,train,-7.2067943,2.0505872
-VTqcHNgH7M.002,train,-8.254347,-11.541903
-VTqcHNgH7M.003,train,-7.851455,-8.959311
-VTqcHNgH7M.004,train,-8.022505,-10.757693
-Wqk9eex6bQ.002,train,-13.229876,5.258897
-Wqk9eex6bQ.003,train,-11.680512,6.162385
-Wqk9eex6bQ.004,train,-12.268822,2.7681441
-Wqk9eex6bQ.005,train,-9.87059,1.9713659
-aU2FN5pkWA.001,train,-2.5936027,-7.8010483
-aU2FN5pkWA.004,train,-8.311668,-0.3443116
-agCXYgb7pI.004,train,1.1686025,7.832938
-awAu11kBZ0.000,train,-1.6823506,-14.829816
-c2HtptBFxY.002,train,-12.348093,-2.3648818
-c_tyGzShwk.004,train,8.669406,-3.2055438
-fXqnCljdm0.000,train,-7.7648816,4.4030957
-fXqnCljdm0.003,train,-4.6835546,4.658315
-fqiCqZtgYs.001,train,17.600702,-0.99842125
-fqiCqZtgYs.002,train,1.9602386,-3.1028419
-fqiCqZtgYs.003,train,6.12338,2.443974
-mt-IKgGhuY.004,train,-13.9027605,4.886912
-utrsarZeIY.001,train,21.450731,-4.2613435
-utrsarZeIY.004,train,17.851458,1.6747001
-zNyDPzId4E.001,train,13.175242,-8.947463
-zNyDPzId4E.003,train,22.88814,0.55443925
01qN-BqJXRM.005,train,-6.2140646,1.9888449
04oq2yrBwMg.001,train,-11.892984,10.592826
04oq2yrBwMg.004,train,-8.038355,14.238297
05l5bteT_qA.000,train,1.4411685,-4.846
05l5bteT_qA.001,train,0.84923613,-12.964957
0C6i34q2-f8.000,train,2.8246076,9.571192
0C6i34q2-f8.001,train,-3.8439114,8.008475
0C6i34q2-f8.003,train,-1.4322224,1.786805
0D7W2pR4RpQ.004,train,15.443088,-5.61603
0FVu7VKIg2s.000,train,10.064929,10.706051
0G9vplL8ae8.001,train,-7.610877,3.7805007
0G9vplL8ae8.003,train,-7.277936,2.585149
0LqfKzp11kg.000,train,11.724494,4.7673674
0MB91ku0eEw.003,train,-10.17622,9.301809
0ObEtA6Q8vU.002,train,-10.107783,-2.3223403
0ObEtA6Q8vU.003,train,-4.2274423,2.9746013
0ObEtA6Q8vU.005,train,-4.0337257,5.333942
0QTR0WiJSNk.001,train,5.121721,-4.168205
0RLFM1ehSFM.000,train,-9.528244,4.4399514
0VnZngec8sc.001,train,-12.690393,1.5506783
0VnZngec8sc.003,train,-13.718322,2.521808
0VnZngec8sc.004,train,-11.532275,0.90460664
0Wr69VD_oXI.004,train,-2.804937,-7.2856107
0ZK5jQAvhFo.004,train,-5.8889136,-1.2676986
0_xOGmydDN0.001,train,-10.537519,7.52132
0_xOGmydDN0.002,train,-16.268522,8.268046
0_xOGmydDN0.003,train,-13.510861,7.347832
0_xOGmydDN0.004,train,-12.664961,7.5659847
0axZSeaUbfs.002,train,-10.238206,-3.7154372
0axZSeaUbfs.004,train,-8.494789,-0.40827227
0axZSeaUbfs.005,train,-10.370251,0.22746623
0dIqLMMn4jY.000,train,14.201921,3.2690365
0fMw9o1v2tY.001,train,17.62447,-2.498115
0fMw9o1v2tY.002,train,11.93745,-6.103077
0fMw9o1v2tY.003,train,11.101999,-6.5337105
0gv5Z0qt2jc.000,train,-5.1927557,4.391312
0gv5Z0qt2jc.001,train,-7.607271,3.5536554
0gv5Z0qt2jc.002,train,-5.3307934,7.8667116
0gv5Z0qt2jc.003,train,-8.383278,5.036156
0gv5Z0qt2jc.004,train,-4.202529,10.535839
0gv5Z0qt2jc.005,train,-6.3727546,3.792969
0hWbtuRVUgM.001,train,1.3763348,4.36052
0hWbtuRVUgM.005,train,-4.9173727,4.5581446
0iQIfGnKflc.001,train,2.3166852,11.549186
0iQIfGnKflc.002,train,-2.7284062,8.626873
0iXXdsO95O0.000,train,9.474823,1.643165
0kg6pmbSN6A.000,train,2.6208029,13.58722
0kg6pmbSN6A.001,train,6.407895,17.168537
0kg6pmbSN6A.002,train,6.4252667,17.487915
0kg6pmbSN6A.005,train,2.5065227,12.727089
0mym1CooiTE.000,train,-6.144162,-7.6611934
0mym1CooiTE.001,train,-6.955461,-5.1441884
0mym1CooiTE.003,train,-3.344208,-11.457221
0mym1CooiTE.004,train,-5.9255157,-6.152429
0n2vWTs6XwA.001,train,18.030632,-8.089818
0tse0Fsy_rg.001,train,16.564497,7.902896
0tse0Fsy_rg.002,train,14.57707,-0.34652534
0tse0Fsy_rg.004,train,26.697855,9.6772
0u56Q_QmxIM.002,train,-7.5820036,9.657502
0u56Q_QmxIM.004,train,-9.171815,6.5502024
0uCqd5hZcyI.000,train,-5.4493384,-3.9589841
0uCqd5hZcyI.005,train,-0.46537232,-6.6944227
0zJcYnsh55g.003,train,26.175602,3.1953816
1-GgVRmAEoo.002,train,-5.195227,-5.294552
1-GgVRmAEoo.003,train,-0.4989817,3.9401941
1-GgVRmAEoo.004,train,-7.7204747,-0.43449247
117jrwvl2Nc.000,train,-7.682967,-5.2881527
117jrwvl2Nc.004,train,-11.23483,-3.0691423
12Ezy1y1cWY.001,train,27.05455,13.635879
12Ezy1y1cWY.005,train,7.8913984,10.275951
12Hbl_oZF9c.001,train,-6.024984,-3.091243
12Hbl_oZF9c.003,train,-1.7972263,-6.7092247
12lqQE6oPNE.001,train,12.25708,-1.1567605
13KtmgntgQw.002,train,-8.518896,2.5057342
13XlKeC_p3U.000,train,-4.3748655,-6.971083
13XlKeC_p3U.001,train,-7.215489,-5.277904
13kjwEtSyXc.000,train,-9.238802,-0.7142816
13kjwEtSyXc.002,train,-3.7027884,2.193232
13kjwEtSyXc.004,train,-10.447123,-3.6282856
15yOT2ZolPE.002,train,-6.7526293,3.53967
176vWywoq9E.000,train,0.45070365,8.913891
176vWywoq9E.001,train,-7.3245516,9.8982935
176vWywoq9E.002,train,2.4553628,9.189609
176vWywoq9E.004,train,-7.105422,7.330167
