clip_id,split,pc1,pc2
--Ymqszjv54.001,train,-2.7379842,3.6146696
--Ymqszjv54.003,train,2.7368932,4.696057
--Ymqszjv54.004,train,3.989781,8.468014
--Ymqszjv54.005,train,5.4618893,9.628705
-2qsCrkXdWs.001,train,-1.5096697,-1.6587936
-55DRRMTppE.000,train,12.973473,-6.6799726
-55DRRMTppE.005,train,12.862242,-8.173167
-5riMLK-PgU.001,train,6.2629514,0.7531939
-6otZ7M-Mro.000,train,-5.0836563,-3.2515326
-6otZ7M-Mro.001,train,-7.205082,-0.5299135
-8asrRvfJWA.003,train,2.0440104,-6.090495
-8asrRvfJWA.004,train,7.639634,-2.915751
-9BZ8A9U7TE.000,train,-0.56449586,-4.0190325
-9BZ8A9U7TE.003,train,2.126143,-2.253656
-9BZ8A9U7TE.004,train,-0.09711002,-2.3470623
-AmMDnVl4s8.003,train,8.826271,-6.245082
-C5M9g4Quzc.002,train,2.8598363,-5.0707083
-DOqN0d8KHw.002,train,-4.6098332,2.0800264
-DOqN0d8KHw.003,train,-4.022223,3.151664
-Gl98Jn45Fs.000,train,4.5898514,6.9124107
-Gl98Jn45Fs.001,train,-2.660235,-1.6019789
-Gl98Jn45Fs.003,train,-1.7260981,-2.812774
-IK--4uz5ZY.000,train,-1.981948,-1.5388592
-IK--4uz5ZY.002,train,-1.1763272,-0.7759323
-IK--4uz5ZY.003,train,-1.0616865,-3.297395
-IK--4uz5ZY.004,train,-1.3234563,0.4184204
-N6QKrbnaDs.005,train,29.30284,80.33469
-NwfYYf5xLo.005,train,1.4709533,-5.070121
-OXMbG7ZwRk.000,train,-7.6738386,1.88096
-OXMbG7ZwRk.003,train,-11.197867,1.6787606
-OXMbG7ZwRk.004,train,-6.9254966,1.8159599
-OXMbG7ZwRk.005,train,-8.903516,1.0747645
-Osv5l1vrNU.001,train,8.8535185,-8.459656
-Osv5l1vrNU.004,train,7.097297,-8.004037
-R2SZu3SYgM.000,train,-10.471613,4.034603
-R2SZu3SYgM.004,train,-6.87354,1.4782968
-RhPxhfpg4U.001,train,-1.682788,5.4006767
-RhPxhfpg4U.003,train,-6.1809916,1.0247968
-RhPxhfpg4U.005,train,-2.4914713,3.5316045
-VTqcHNgH7M.002,train,-7.12132,-5.342506
-VTqcHNgH7M.003,train,-6.0397744,-3.9098501
-VTqcHNgH7M.004,train,-5.011904,-5.222782
-Wqk9eex6bQ.002,train,-7.718875,6.99291
-Wqk9eex6bQ.003,train,-5.1028543,7.352957
-Wqk9eex6bQ.004,train,-7.5527744,2.474296
-Wqk9eex6bQ.005,train,-5.4983597,3.37438
-aU2FN5pkWA.001,train,-5.2951164,-1.5755711
-aU2FN5pkWA.004,train,-7.364377,8.318726
-agCXYgb7pI.004,train,0.65272856,-1.8061323
-awAu11kBZ0.000,train,-3.1921628,-9.129976
-c2HtptBFxY.002,train,-8.692114,-0.8749535
-c_tyGzShwk.004,train,3.2150264,-6.574262
-fXqnCljdm0.000,train,-6.222044,0.30263016
-fXqnCljdm0.003,train,-3.7779596,2.5635846
-fqiCqZtgYs.001,train,8.999676,-7.2763824
-fqiCqZtgYs.002,train,0.87736046,-3.9976268
-fqiCqZtgYs.003,train,1.7067258,-4.40522
-mt-IKgGhuY.004,train,-9.898117,1.9523058
-utrsarZeIY.001,train,13.804964,-7.8881874
-utrsarZeIY.004,train,11.292193,-6.6505966
-zNyDPzId4E.001,train,8.129538,-8.330527
-zNyDPzId4E.003,train,15.465195,-10.294593
01qN-BqJXRM.005,train,-2.0362825,-1.9402821
04oq2yrBwMg.001,train,-7.6437016,3.5095847
04oq2yrBwMg.004,train,6.745369,33.575996
05l5bteT_qA.000,train,1.9232178,-3.3153267
05l5bteT_qA.001,train,2.6108644,-5.9508557
0C6i34q2-f8.000,train,7.8235126,15.6199465
0C6i34q2-f8.001,train,-3.4656975,6.2607923
0C6i34q2-f8.003,train,0.49823698,-1.5175166
0D7W2pR4RpQ.004,train,9.964728,-7.7287207
0FVu7VKIg2s.000,train,3.5692935,0.07777288
0G9vplL8ae8.001,train,-7.502823,-0.50729007
0G9vplL8ae8.003,train,-7.539715,0.29449794
0LqfKzp11kg.000,train,3.772284,3.7080333
0MB91ku0eEw.003,train,-8.662687,2.0720532
0ObEtA6Q8vU.002,train,-8.192215,-0.047366478
0ObEtA6Q8vU.003,train,-3.3316145,0.6060094
0ObEtA6Q8vU.005,train,-3.344059,-0.054098744
0QTR0WiJSNk.001,train,5.0734987,-4.5176244
0RLFM1ehSFM.000,train,-6.2313423,0.30555987
0VnZngec8sc.001,train,-10.745596,0.6427316
0VnZngec8sc.003,train,-11.578856,1.9171283
0VnZngec8sc.004,train,-9.745224,0.25732723
0Wr69VD_oXI.004,train,-3.2044888,-3.423255
0ZK5jQAvhFo.004,train,-3.4607959,1.8341275
0_xOGmydDN0.001,train,-9.937492,3.342761
0_xOGmydDN0.002,train,-11.004806,3.870764
0_xOGmydDN0.003,train,-10.46313,2.872279
0_xOGmydDN0.004,train,-7.5417047,3.2958412
0axZSeaUbfs.002,train,-8.929939,-1.9137825
0axZSeaUbfs.004,train,-5.7696576,-0.20222318
0axZSeaUbfs.005,train,-7.880355,1.797112
0dIqLMMn4jY.000,train,9.581738,-4.5447545
0fMw9o1v2tY.001,train,16.671783,-5.5984116
0fMw9o1v2tY.002,train,13.27823,-9.064771
0fMw9o1v2tY.003,train,11.625181,-7.0197773
0gv5Z0qt2jc.000,train,-4.6281724,3.41784
0gv5Z0qt2jc.001,train,-4.36942,8.543053
0gv5Z0qt2jc.002,train,-2.59191,8.695873
0gv5Z0qt2jc.003,train,-5.9318876,1.8241484
0gv5Z0qt2jc.004,train,-1.6539484,9.348634
0gv5Z0qt2jc.005,train,-4.6890674,0.7045878
0hWbtuRVUgM.001,train,-3.7664688,-2.7231712
0hWbtuRVUgM.005,train,-6.6515875,-0.48056287
0iQIfGnKflc.001,train,3.695456,9.959454
0iQIfGnKflc.002,train,-4.394654,3.1819053
0iXXdsO95O0.000,train,1.6230135,-0.99383134
0kg6pmbSN6A.000,train,-0.4197886,1.1716186
0kg6pmbSN6A.001,train,1.6800401,3.7455053
0kg6pmbSN6A.002,train,0.17674896,2.3952904
0kg6pmbSN6A.005,train,2.4584303,0.16006789
0mym1CooiTE.000,train,-7.791479,-1.8877436
0mym1CooiTE.001,train,-4.646758,-1.7546005
0mym1CooiTE.003,train,-4.0011663,-5.225535
0mym1CooiTE.004,train,-0.8024192,3.65216
0n2vWTs6XwA.001,train,12.725726,-8.944001
0tse0Fsy_rg.001,train,18.732985,8.465471
0tse0Fsy_rg.002,train,12.399643,-3.718709
0tse0Fsy_rg.004,train,27.742826,6.8650956
0u56Q_QmxIM.002,train,-1.0971767,11.430228
0u56Q_QmxIM.004,train,0.3899948,8.31322
0uCqd5hZcyI.000,train,2.0234535,8.243419
0uCqd5hZcyI.005,train,2.6124394,-4.1028433
0zJcYnsh55g.003,train,19.030155,-11.317854
1-GgVRmAEoo.002,train,-2.892115,-0.1478306
1-GgVRmAEoo.003,train,7.6396146,11.347331
1-GgVRmAEoo.004,train,-2.5500274,8.510698
117jrwvl2Nc.000,train,-4.5114465,-2.0878694
117jrwvl2Nc.004,train,-4.6422386,-3.290123
12Ezy1y1cWY.001,train,18.699926,15.591427
12Ezy1y1cWY.005,train,6.4363127,7.2935686
12Hbl_oZF9c.001,train,-6.584725,-3.5963967
12Hbl_oZF9c.003,train,-4.4141026,-5.292794
12lqQE6oPNE.001,train,6.2865663,-0.7919535
13KtmgntgQw.002,train,-6.7373443,3.4765208
13XlKeC_p3U.000,train,-1.6617612,-2.3720245
13XlKeC_p3U.001,train,-4.3579316,-3.5049279
13kjwEtSyXc.000,train,-9.498055,-0.6285819
13kjwEtSyXc.002,train,-2.3758364,1.61738
13kjwEtSyXc.004,train,-5.4880996,1.111526
15yOT2ZolPE.002,train,-3.925384,3.3732243
176vWywoq9E.000,train,-1.3404292,1.5935247
176vWywoq9E.001,train,-6.21987,4.097246
176vWywoq9E.002,train,-0.055006422,1.262766
176vWywoq9E.004,train,-8.750371,0.050128814
184MlJCcboQ.000,train,2.130091,-7.3015814
