clip_id,split_official,duration_sec,audio_path
--Ymqszjv54.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.001.wav
--Ymqszjv54.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.003.wav
--Ymqszjv54.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.004.wav
--Ymqszjv54.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.005.wav
-2qsCrkXdWs.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-2qsCrkXdWs.001.wav
-55DRRMTppE.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-55DRRMTppE.000.wav
-55DRRMTppE.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-55DRRMTppE.005.wav
-5riMLK-PgU.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-5riMLK-PgU.001.wav
-6otZ7M-Mro.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-6otZ7M-Mro.000.wav
-6otZ7M-Mro.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-6otZ7M-Mro.001.wav
-8asrRvfJWA.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-8asrRvfJWA.003.wav
-8asrRvfJWA.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-8asrRvfJWA.004.wav
-9BZ8A9U7TE.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-9BZ8A9U7TE.000.wav
-9BZ8A9U7TE.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-9BZ8A9U7TE.003.wav
-9BZ8A9U7TE.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-9BZ8A9U7TE.004.wav
-AmMDnVl4s8.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-AmMDnVl4s8.003.wav
-C5M9g4Quzc.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-C5M9g4Quzc.002.wav
-DOqN0d8KHw.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-DOqN0d8KHw.002.wav
-DOqN0d8KHw.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-DOqN0d8KHw.003.wav
-Gl98Jn45Fs.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Gl98Jn45Fs.000.wav
-Gl98Jn45Fs.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Gl98Jn45Fs.001.wav
-Gl98Jn45Fs.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Gl98Jn45Fs.003.wav
-IK--4uz5ZY.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-IK--4uz5ZY.000.wav
-IK--4uz5ZY.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-IK--4uz5ZY.002.wav
-IK--4uz5ZY.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-IK--4uz5ZY.003.wav
-IK--4uz5ZY.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-IK--4uz5ZY.004.wav
-N6QKrbnaDs.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-N6QKrbnaDs.005.wav
-NwfYYf5xLo.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-NwfYYf5xLo.005.wav
-OXMbG7ZwRk.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-OXMbG7ZwRk.000.wav
-OXMbG7ZwRk.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-OXMbG7ZwRk.003.wav
-OXMbG7ZwRk.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-OXMbG7ZwRk.004.wav
-OXMbG7ZwRk.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-OXMbG7ZwRk.005.wav
