feature,count,mean,std,min,25%,50%,75%,max,missing_count,missing_ratio
F0semitoneFrom27.5Hz_sma3nz_amean,9974.0,31.961472732905552,5.034384810301174,0.0,27.958714999999998,32.7358835,36.065817499999994,50.491,0,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,9974.0,0.15088297736961598,0.07181710097849216,0.0,0.09960255000000001,0.13349559,0.183820675,0.600413,0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,9974.0,28.783909166182077,5.608483054706783,0.0,24.388282500000003,29.651126,33.62837375,44.20721,0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,9974.0,31.4675234347303,5.297792520306693,0.0,27.193255,32.565911,35.699095,55.22777,0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,9974.0,34.884188709544816,5.508001168793311,0.0,30.87071975,35.731147,38.85957175,61.536293,0,0.0
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,9974.0,6.1002795427425305,3.814905505603959,0.0,3.8168725749999997,5.15620615,6.985058675,39.063324,0,0.0
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,9974.0,197.3112901071807,147.82291956037034,-28.750364,93.38807,153.351625,258.82002750000004,1329.6608,0,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,9974.0,274.70358059601966,240.93469756338553,0.0,106.33089749999999,184.349365,374.42022499999996,1610.691,0,0.0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,9974.0,90.70541156129536,77.26013144006362,-53.24107,37.69768225,68.316763,117.8943635,973.2034,0,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,9974.0,131.02122921093846,155.04677237187008,0.0,39.995214250000004,80.7592825,152.9282675,1416.9081,0,0.0
loudness_sma3_amean,9974.0,0.7114312229925805,0.3606213023848148,0.04780238,0.4478351,0.65720415,0.9220110300000001,3.5966027,0,0.0
loudness_sma3_stddevNorm,9974.0,0.6481396896861841,0.15838183333612024,0.15278453,0.5458745675,0.63294347,0.731254835,2.703531,0,0.0
loudness_sma3_percentile20.0,9974.0,0.3118839827109585,0.21245172625970374,0.0010339657,0.1571940625,0.26827661999999997,0.41862012,2.094666,0,0.0
loudness_sma3_percentile50.0,9974.0,0.614747689377682,0.34140158993778613,0.0010339657,0.3636415675,0.558242315,0.798572175,3.5131414,0,0.0
loudness_sma3_percentile80.0,9974.0,1.0813252838280931,0.5451950269426051,0.0010339657,0.6819528,0.99987885,1.4063616749999999,5.3144007,0,0.0
