model,split,clip_id,embedding_norm
hubert,train,--Ymqszjv54.001,4.4271717
hubert,train,--Ymqszjv54.003,4.522365
hubert,train,--Ymqszjv54.004,4.500377
hubert,train,--Ymqszjv54.005,4.5051603
hubert,train,-2qsCrkXdWs.001,4.1114116
hubert,train,-55DRRMTppE.000,4.026926
hubert,train,-55DRRMTppE.005,3.94259
hubert,train,-5riMLK-PgU.001,4.1567454
hubert,train,-6otZ7M-Mro.000,4.262611
hubert,train,-6otZ7M-Mro.001,4.2683105
hubert,train,-8asrRvfJWA.003,3.935846
hubert,train,-8asrRvfJWA.004,4.105207
hubert,train,-9BZ8A9U7TE.000,3.9919364
hubert,train,-9BZ8A9U7TE.003,4.086905
hubert,train,-9BZ8A9U7TE.004,4.1894073
hubert,train,-AmMDnVl4s8.003,4.0142603
hubert,train,-C5M9g4Quzc.002,4.0987515
hubert,train,-DOqN0d8KHw.002,4.1304283
hubert,train,-DOqN0d8KHw.003,4.0629096
hubert,train,-Gl98Jn45Fs.000,4.421077
hubert,train,-Gl98Jn45Fs.001,4.0483
hubert,train,-Gl98Jn45Fs.003,4.2930493
hubert,train,-IK--4uz5ZY.000,4.2766714
hubert,train,-IK--4uz5ZY.002,4.258847
hubert,train,-IK--4uz5ZY.003,4.3446174
hubert,train,-IK--4uz5ZY.004,4.272663
hubert,train,-N6QKrbnaDs.005,7.075591
hubert,train,-NwfYYf5xLo.005,3.770626
hubert,train,-OXMbG7ZwRk.000,4.4760394
hubert,train,-OXMbG7ZwRk.003,4.360203
hubert,train,-OXMbG7ZwRk.004,4.4975424
hubert,train,-OXMbG7ZwRk.005,4.5747175
hubert,train,-Osv5l1vrNU.001,4.245626
hubert,train,-Osv5l1vrNU.004,4.2573504
hubert,train,-R2SZu3SYgM.000,4.3503456
hubert,train,-R2SZu3SYgM.004,4.3271356
hubert,train,-RhPxhfpg4U.001,4.3399515
hubert,train,-RhPxhfpg4U.003,4.0586863
hubert,train,-RhPxhfpg4U.005,4.159745
hubert,train,-VTqcHNgH7M.002,4.391261
hubert,train,-VTqcHNgH7M.003,4.3432927
hubert,train,-VTqcHNgH7M.004,4.3561254
hubert,train,-Wqk9eex6bQ.002,4.3503785
hubert,train,-Wqk9eex6bQ.003,4.4359894
hubert,train,-Wqk9eex6bQ.004,4.4163876
hubert,train,-Wqk9eex6bQ.005,4.3582664
hubert,train,-aU2FN5pkWA.001,4.2511306
hubert,train,-aU2FN5pkWA.004,4.311263
hubert,train,-agCXYgb7pI.004,4.139773
hubert,train,-awAu11kBZ0.000,4.250149
hubert,train,-c2HtptBFxY.002,4.529621
hubert,train,-c_tyGzShwk.004,4.07744
hubert,train,-fXqnCljdm0.000,4.3025103
hubert,train,-fXqnCljdm0.003,4.255362
hubert,train,-fqiCqZtgYs.001,3.8585443
hubert,train,-fqiCqZtgYs.002,3.951622
hubert,train,-fqiCqZtgYs.003,3.9121535
hubert,train,-mt-IKgGhuY.004,4.4239836
hubert,train,-utrsarZeIY.001,3.87865
hubert,train,-utrsarZeIY.004,3.7971315
hubert,train,-zNyDPzId4E.001,3.8888125
hubert,train,-zNyDPzId4E.003,4.1078386
hubert,train,01qN-BqJXRM.005,4.0944242
hubert,train,04oq2yrBwMg.001,4.477022
hubert,train,04oq2yrBwMg.004,4.7051024
hubert,train,05l5bteT_qA.000,4.1862226
hubert,train,05l5bteT_qA.001,4.1041327
hubert,train,0C6i34q2-f8.000,4.7074275
hubert,train,0C6i34q2-f8.001,4.238885
hubert,train,0C6i34q2-f8.003,3.9703362
hubert,train,0D7W2pR4RpQ.004,3.8228204
hubert,train,0FVu7VKIg2s.000,4.0302744
hubert,train,0G9vplL8ae8.001,4.390332
hubert,train,0G9vplL8ae8.003,4.2414107
hubert,train,0LqfKzp11kg.000,4.2543736
hubert,train,0MB91ku0eEw.003,4.3088255
hubert,train,0ObEtA6Q8vU.002,4.361842
hubert,train,0ObEtA6Q8vU.003,4.126267
hubert,train,0ObEtA6Q8vU.005,4.3570185
hubert,train,0QTR0WiJSNk.001,3.9247108
hubert,train,0RLFM1ehSFM.000,4.200554
hubert,train,0VnZngec8sc.001,4.4624963
hubert,train,0VnZngec8sc.003,4.4750433
hubert,train,0VnZngec8sc.004,4.324151
hubert,train,0Wr69VD_oXI.004,4.155733
hubert,train,0ZK5jQAvhFo.004,4.0943985
hubert,train,0_xOGmydDN0.001,4.328675
hubert,train,0_xOGmydDN0.002,4.5988107
hubert,train,0_xOGmydDN0.003,4.5548873
hubert,train,0_xOGmydDN0.004,4.438348
hubert,train,0axZSeaUbfs.002,4.3417454
hubert,train,0axZSeaUbfs.004,4.3149714
hubert,train,0axZSeaUbfs.005,4.2997937
hubert,train,0dIqLMMn4jY.000,3.8641744
hubert,train,0fMw9o1v2tY.001,3.6803453
hubert,train,0fMw9o1v2tY.002,3.710796
hubert,train,0fMw9o1v2tY.003,3.7450936
hubert,train,0gv5Z0qt2jc.000,4.3459873
hubert,train,0gv5Z0qt2jc.001,4.3570867
hubert,train,0gv5Z0qt2jc.002,4.5681863
hubert,train,0gv5Z0qt2jc.003,4.5838523
hubert,train,0gv5Z0qt2jc.004,4.667953
hubert,train,0gv5Z0qt2jc.005,4.4543657
hubert,train,0hWbtuRVUgM.001,4.166056
hubert,train,0hWbtuRVUgM.005,4.157512
hubert,train,0iQIfGnKflc.001,4.5219836
hubert,train,0iQIfGnKflc.002,4.130936
hubert,train,0iXXdsO95O0.000,4.0440264
hubert,train,0kg6pmbSN6A.000,4.158759
hubert,train,0kg6pmbSN6A.001,4.3812904
hubert,train,0kg6pmbSN6A.002,4.302184
hubert,train,0kg6pmbSN6A.005,4.291704
hubert,train,0mym1CooiTE.000,4.1710773
hubert,train,0mym1CooiTE.001,4.1574736
hubert,train,0mym1CooiTE.003,4.2747045
hubert,train,0mym1CooiTE.004,4.020112
hubert,train,0n2vWTs6XwA.001,4.059115
hubert,train,0tse0Fsy_rg.001,4.508917
hubert,train,0tse0Fsy_rg.002,4.0515685
hubert,train,0tse0Fsy_rg.004,4.7344413
