clip_id,speech_sec,voiced_ratio,n_seg
--Ymqszjv54.001,12.418,0.8278666666666666,6
--Ymqszjv54.003,11.036,0.7357333333333334,8
--Ymqszjv54.004,9.768,0.6512,6
--Ymqszjv54.005,10.392,0.6928,9
-2qsCrkXdWs.001,13.434,0.8956,8
-55DRRMTppE.000,12.624,0.8416,3
-55DRRMTppE.005,12.966,0.8644,5
-5riMLK-PgU.001,11.396,0.7597333333333334,7
-6otZ7M-Mro.000,14.998,0.9998666666666666,1
-6otZ7M-Mro.001,14.05,0.9366666666666668,6
-8asrRvfJWA.003,14.966,0.9977333333333332,1
-8asrRvfJWA.004,12.35,0.8233333333333334,7
-9BZ8A9U7TE.000,14.574,0.9716,3
-9BZ8A9U7TE.003,12.966,0.8644,5
-9BZ8A9U7TE.004,14.03,0.9353333333333332,3
-AmMDnVl4s8.003,13.646,0.9097333333333334,3
-C5M9g4Quzc.002,13.842,0.9228,4
-DOqN0d8KHw.002,13.294,0.8862666666666666,3
-DOqN0d8KHw.003,13.03,0.8686666666666666,5
-Gl98Jn45Fs.000,12.294,0.8196,5
