clip_id,split,pc1,pc2
--Ymqszjv54.001,train,-7.162648,0.26086608
--Ymqszjv54.003,train,-5.097126,4.958025
--Ymqszjv54.004,train,-4.0022345,9.241139
--Ymqszjv54.005,train,-8.106212,8.784998
-2qsCrkXdWs.001,train,-5.8433723,-1.9012592
-55DRRMTppE.000,train,19.651878,-4.1638975
-55DRRMTppE.005,train,11.18613,-1.8851148
-5riMLK-PgU.001,train,12.094978,13.41541
-6otZ7M-Mro.000,train,-1.0828339,-1.7158823
-6otZ7M-Mro.001,train,-5.383813,0.032233827
-8asrRvfJWA.003,train,11.217118,-1.4891229
-8asrRvfJWA.004,train,10.385085,5.05794
-9BZ8A9U7TE.000,train,-5.5370355,-0.74181944
-9BZ8A9U7TE.003,train,-1.4095317,-3.2562957
-9BZ8A9U7TE.004,train,-0.8902591,-3.3842454
-AmMDnVl4s8.003,train,12.362567,-8.35159
-C5M9g4Quzc.002,train,15.961035,17.979698
-DOqN0d8KHw.002,train,-18.940535,0.7690592
-DOqN0d8KHw.003,train,-18.740654,-2.7071888
-Gl98Jn45Fs.000,train,-0.5307888,4.13137
-Gl98Jn45Fs.001,train,-0.8958786,1.459159
-Gl98Jn45Fs.003,train,-1.4925877,0.6177483
-IK--4uz5ZY.000,train,-10.225162,-1.2168238
-IK--4uz5ZY.002,train,-8.423494,1.7199169
-IK--4uz5ZY.003,train,-7.147297,-3.4186387
-IK--4uz5ZY.004,train,-9.591685,-0.5920621
-N6QKrbnaDs.005,train,-26.467672,8.897213
-NwfYYf5xLo.005,train,6.21495,3.8840666
-OXMbG7ZwRk.000,train,-15.763698,-0.78671587
-OXMbG7ZwRk.003,train,-14.256816,-0.8931194
-OXMbG7ZwRk.004,train,-16.486437,-0.38536683
-OXMbG7ZwRk.005,train,-16.197996,-2.3374765
-Osv5l1vrNU.001,train,6.316248,-6.8549085
-Osv5l1vrNU.004,train,10.108837,-1.9742936
-R2SZu3SYgM.000,train,-10.646487,-2.9003575
-R2SZu3SYgM.004,train,-8.082682,-2.121037
-RhPxhfpg4U.001,train,-7.701137,7.194182
-RhPxhfpg4U.003,train,-12.200201,2.6656735
-RhPxhfpg4U.005,train,-12.702843,1.1046466
-VTqcHNgH7M.002,train,-4.45175,-6.7704716
-VTqcHNgH7M.003,train,-6.2658587,-4.711224
-VTqcHNgH7M.004,train,-3.4818509,-6.5463634
-Wqk9eex6bQ.002,train,-20.91804,-3.1132133
-Wqk9eex6bQ.003,train,-17.02216,-5.473526
-Wqk9eex6bQ.004,train,-17.667358,-5.337739
-Wqk9eex6bQ.005,train,-14.8861,-5.4912333
-aU2FN5pkWA.001,train,-8.349496,-9.485651
-aU2FN5pkWA.004,train,-11.514139,-6.846219
-agCXYgb7pI.004,train,-16.553978,0.9336604
-awAu11kBZ0.000,train,10.209731,-13.932287
-c2HtptBFxY.002,train,-15.347862,-6.8693805
-c_tyGzShwk.004,train,-5.152318,-1.5456988
-fXqnCljdm0.000,train,-14.275143,3.7923107
-fXqnCljdm0.003,train,-6.4517593,10.808716
-fqiCqZtgYs.001,train,18.309671,-8.312376
-fqiCqZtgYs.002,train,2.5835261,-1.1442708
-fqiCqZtgYs.003,train,8.498637,8.472666
-mt-IKgGhuY.004,train,-11.117023,-3.7875116
-utrsarZeIY.001,train,22.00253,-6.1359825
-utrsarZeIY.004,train,30.465094,-8.609476
-zNyDPzId4E.001,train,27.767042,-4.9554996
-zNyDPzId4E.003,train,33.25076,0.18880828
01qN-BqJXRM.005,train,-6.827755,-1.0014545
04oq2yrBwMg.001,train,-18.42723,-0.24193758
04oq2yrBwMg.004,train,-21.70901,-0.274108
05l5bteT_qA.000,train,3.0428941,-5.494896
05l5bteT_qA.001,train,1.5579072,-7.717346
0C6i34q2-f8.000,train,9.928148,18.526566
0C6i34q2-f8.001,train,-3.8141644,16.027758
0C6i34q2-f8.003,train,-9.459994,2.3423932
0D7W2pR4RpQ.004,train,22.797369,-7.9135222
0FVu7VKIg2s.000,train,4.3837223,5.1752405
0G9vplL8ae8.001,train,-13.688401,0.13709253
0G9vplL8ae8.003,train,-14.582952,-0.31150118
0LqfKzp11kg.000,train,3.6896179,7.825739
0MB91ku0eEw.003,train,-10.6637535,4.6254916
0ObEtA6Q8vU.002,train,-15.85308,-4.0056067
0ObEtA6Q8vU.003,train,-13.656469,-7.579665
0ObEtA6Q8vU.005,train,-5.6823306,-5.7358084
0QTR0WiJSNk.001,train,11.8383045,6.623893
0RLFM1ehSFM.000,train,-4.634192,5.403049
0VnZngec8sc.001,train,-18.552343,-2.0818388
0VnZngec8sc.003,train,-18.37198,-2.825194
0VnZngec8sc.004,train,-16.67483,-2.5103228
0Wr69VD_oXI.004,train,-0.13770469,-3.1443405
0ZK5jQAvhFo.004,train,-16.803795,-1.5043081
0_xOGmydDN0.001,train,-19.21962,0.5689867
0_xOGmydDN0.002,train,-20.83006,1.8302166
0_xOGmydDN0.003,train,-19.789673,-1.4453945
0_xOGmydDN0.004,train,-18.275898,-2.6251225
0axZSeaUbfs.002,train,-11.943729,-2.218485
0axZSeaUbfs.004,train,-13.425932,-4.606788
0axZSeaUbfs.005,train,-14.81162,0.13012527
0dIqLMMn4jY.000,train,9.664215,3.1707423
0fMw9o1v2tY.001,train,14.343286,-11.678659
0fMw9o1v2tY.002,train,11.953627,-12.148147
0fMw9o1v2tY.003,train,16.378275,-17.255228
0gv5Z0qt2jc.000,train,-9.699639,5.765777
0gv5Z0qt2jc.001,train,-14.495074,2.887364
0gv5Z0qt2jc.002,train,-12.4950695,5.3213487
0gv5Z0qt2jc.003,train,-11.985865,2.9227116
0gv5Z0qt2jc.004,train,-14.268203,5.981965
0gv5Z0qt2jc.005,train,-12.13855,3.683235
0hWbtuRVUgM.001,train,5.922633,-10.216834
0hWbtuRVUgM.005,train,-0.56337994,-7.378033
0iQIfGnKflc.001,train,6.51139,17.913641
0iQIfGnKflc.002,train,-0.7662809,10.691848
0iXXdsO95O0.000,train,6.9608326,11.964604
0kg6pmbSN6A.000,train,18.988567,16.953066
0kg6pmbSN6A.001,train,22.69136,18.078604
0kg6pmbSN6A.002,train,16.944296,18.14673
0kg6pmbSN6A.005,train,11.042697,10.686244
0mym1CooiTE.000,train,-1.312421,-1.330014
0mym1CooiTE.001,train,-4.7716684,0.053333454
0mym1CooiTE.003,train,-1.8025118,-4.8778067
0mym1CooiTE.004,train,-2.4384744,-0.5038372
0n2vWTs6XwA.001,train,31.398312,7.8187485
0tse0Fsy_rg.001,train,3.989634,8.357916
0tse0Fsy_rg.002,train,16.079668,1.5727147
0tse0Fsy_rg.004,train,15.030819,6.9983673
0u56Q_QmxIM.002,train,-19.502735,4.1120443
0u56Q_QmxIM.004,train,-20.454725,1.2494012
0uCqd5hZcyI.000,train,-1.8324362,-3.341922
0uCqd5hZcyI.005,train,0.4368531,-6.4030128
0zJcYnsh55g.003,train,27.094725,-3.3684993
1-GgVRmAEoo.002,train,-9.039323,-1.4415159
1-GgVRmAEoo.003,train,-4.3979683,2.8400965
1-GgVRmAEoo.004,train,-10.123394,-3.161016
117jrwvl2Nc.000,train,-11.848424,-2.0490263
117jrwvl2Nc.004,train,-11.333713,-5.278662
12Ezy1y1cWY.001,train,37.44394,6.188295
12Ezy1y1cWY.005,train,20.252691,15.275489
12Hbl_oZF9c.001,train,1.0372617,-16.048658
12Hbl_oZF9c.003,train,5.595395,-15.258404
12lqQE6oPNE.001,train,2.2308726,-0.830619
13KtmgntgQw.002,train,-12.88305,2.460122
13XlKeC_p3U.000,train,3.7792697,-3.649453
13XlKeC_p3U.001,train,0.12864141,-3.3013194
13kjwEtSyXc.000,train,-10.202637,2.040383
13kjwEtSyXc.002,train,-6.1955237,11.604798
13kjwEtSyXc.004,train,-9.726013,4.0510764
15yOT2ZolPE.002,train,-12.674819,-3.1389358
176vWywoq9E.000,train,-15.174935,3.4332402
176vWywoq9E.001,train,-17.377207,2.8399286
176vWywoq9E.002,train,-8.045201,3.3826566
176vWywoq9E.004,train,-14.632984,0.9632098
184MlJCcboQ.000,train,-0.1880616,-3.7326586
186c7kCyCHQ.005,train,-7.0323267,1.9423552
19cplBTXyoY.002,train,9.835366,-12.418217
19pTUX8KfYM.000,train,-7.92111,-5.5828023
1AMp8Y_0UGc.000,train,8.518875,2.3752835
1AMp8Y_0UGc.002,train,7.7131395,7.8305855
1AMp8Y_0UGc.004,train,6.9692507,10.549261
1CYzbX8AaP8.001,train,-1.7171384,3.0545344
1CYzbX8AaP8.003,train,-11.116147,-0.18674318
