Split,Trait,Count,Mean,Std,Min,Median,Max
test,extraversion,2039,0.470627,0.154427,0.009346,0.46729,0.925234
test,neuroticism,2039,0.513191,0.159383,0.020833,0.520833,1.0
test,agreeableness,2039,0.543479,0.138344,0.10989,0.549451,0.912088
test,conscientiousness,2039,0.518315,0.159164,0.038835,0.524272,0.980583
test,openness,2039,0.560553,0.14904,0.111111,0.566667,0.977778
test,avg_trait,2039,0.521233,0.133502,0.116503,0.527802,0.923902
train,extraversion,5936,0.479521,0.150189,0.0,0.485981,1.0
train,neuroticism,5936,0.52343,0.150915,0.0,0.53125,0.979167
train,agreeableness,5936,0.552451,0.132958,0.0,0.56044,1.0
train,conscientiousness,5936,0.526184,0.154187,0.038835,0.533981,1.0
train,openness,5936,0.569164,0.144943,0.0,0.577778,1.0
train,avg_trait,5936,0.53015,0.126996,0.049752,0.535753,0.908998
val,extraversion,1999,0.475144,0.149135,0.018692,0.476636,0.88785
val,neuroticism,1999,0.522636,0.150167,0.020833,0.53125,0.916667
val,agreeableness,1999,0.54823,0.131898,0.087912,0.56044,0.923077
val,conscientiousness,1999,0.526297,0.151479,0.0,0.524272,0.951456
val,openness,1999,0.566528,0.144157,0.133333,0.566667,0.977778
val,avg_trait,1999,0.527767,0.125254,0.086161,0.536419,0.85735
