Protocol,Split,Variable,Category,Count,Total,Prop
official_after_vad_drop,test,gender,1,886,1992,0.444779
official_after_vad_drop,test,gender,2,1106,1992,0.555221
official_after_vad_drop,train,gender,1,2732,5988,0.456246
official_after_vad_drop,train,gender,2,3256,5988,0.543754
official_after_vad_drop,val,gender,1,916,1994,0.459378
official_after_vad_drop,val,gender,2,1078,1994,0.540622
strict_group_based,test,gender,1,932,2039,0.457087
strict_group_based,test,gender,2,1107,2039,0.542913
strict_group_based,train,gender,1,2677,5936,0.450977
strict_group_based,train,gender,2,3259,5936,0.549023
strict_group_based,val,gender,1,925,1999,0.462731
strict_group_based,val,gender,2,1074,1999,0.537269
official_after_vad_drop,test,ethnicity,1,48,1992,0.024096
official_after_vad_drop,test,ethnicity,2,1721,1992,0.863956
official_after_vad_drop,test,ethnicity,3,223,1992,0.111948
official_after_vad_drop,train,ethnicity,1,211,5988,0.035237
official_after_vad_drop,train,ethnicity,2,5155,5988,0.860888
official_after_vad_drop,train,ethnicity,3,622,5988,0.103874
official_after_vad_drop,val,ethnicity,1,67,1994,0.033601
official_after_vad_drop,val,ethnicity,2,1704,1994,0.854564
official_after_vad_drop,val,ethnicity,3,223,1994,0.111836
strict_group_based,test,ethnicity,1,76,2039,0.037273
strict_group_based,test,ethnicity,2,1747,2039,0.856793
strict_group_based,test,ethnicity,3,216,2039,0.105934
strict_group_based,train,ethnicity,1,186,5936,0.031334
strict_group_based,train,ethnicity,2,5097,5936,0.858659
strict_group_based,train,ethnicity,3,653,5936,0.110007
strict_group_based,val,ethnicity,1,64,1999,0.032016
strict_group_based,val,ethnicity,2,1736,1999,0.868434
strict_group_based,val,ethnicity,3,199,1999,0.09955
official_after_vad_drop,test,age_group,2,3,1992,0.001506
official_after_vad_drop,test,age_group,3,20,1992,0.01004
official_after_vad_drop,test,age_group,4,242,1992,0.121486
official_after_vad_drop,test,age_group,5,942,1992,0.472892
official_after_vad_drop,test,age_group,6,579,1992,0.290663
official_after_vad_drop,test,age_group,7,162,1992,0.081325
official_after_vad_drop,test,age_group,8,44,1992,0.022088
official_after_vad_drop,train,age_group,1,2,5988,0.000334
official_after_vad_drop,train,age_group,2,10,5988,0.00167
official_after_vad_drop,train,age_group,3,176,5988,0.029392
official_after_vad_drop,train,age_group,4,1297,5988,0.2166
official_after_vad_drop,train,age_group,5,2963,5988,0.494823
official_after_vad_drop,train,age_group,6,1316,5988,0.219773
official_after_vad_drop,train,age_group,7,186,5988,0.031062
official_after_vad_drop,train,age_group,8,38,5988,0.006346
official_after_vad_drop,val,age_group,2,5,1994,0.002508
official_after_vad_drop,val,age_group,3,53,1994,0.02658
official_after_vad_drop,val,age_group,4,417,1994,0.209127
official_after_vad_drop,val,age_group,5,985,1994,0.493982
official_after_vad_drop,val,age_group,6,446,1994,0.223671
official_after_vad_drop,val,age_group,7,65,1994,0.032598
official_after_vad_drop,val,age_group,8,23,1994,0.011535
strict_group_based,test,age_group,1,1,2039,0.00049
strict_group_based,test,age_group,3,69,2039,0.03384
strict_group_based,test,age_group,4,419,2039,0.205493
strict_group_based,test,age_group,5,955,2039,0.468367
strict_group_based,test,age_group,6,494,2039,0.242276
strict_group_based,test,age_group,7,83,2039,0.040706
strict_group_based,test,age_group,8,18,2039,0.008828
strict_group_based,train,age_group,2,14,5936,0.002358
strict_group_based,train,age_group,3,129,5936,0.021732
strict_group_based,train,age_group,4,1177,5936,0.198282
strict_group_based,train,age_group,5,2928,5936,0.493261
strict_group_based,train,age_group,6,1360,5936,0.229111
strict_group_based,train,age_group,7,263,5936,0.044306
strict_group_based,train,age_group,8,65,5936,0.01095
strict_group_based,val,age_group,1,1,1999,0.0005
strict_group_based,val,age_group,2,4,1999,0.002001
strict_group_based,val,age_group,3,51,1999,0.025513
strict_group_based,val,age_group,4,360,1999,0.18009
strict_group_based,val,age_group,5,1007,1999,0.503752
strict_group_based,val,age_group,6,487,1999,0.243622
strict_group_based,val,age_group,7,67,1999,0.033517
strict_group_based,val,age_group,8,22,1999,0.011006
