number,value,state,params_learning_rate,params_lora_alpha,params_lora_dropout,params_r,params_warmup_ratio,params_weight_decay,datetime_start,datetime_complete
0,0.9014067575335503,COMPLETE,0.00010527033796807444,16,0.0,8,0.08,0.00398107062750072,2026-04-17 02:31:42.198729,2026-04-17 04:27:15.109556
1,0.901667132973671,COMPLETE,0.00020683390063957598,64,0.15,16,0.08,0.0011936541711990176,2026-04-17 04:27:15.384960,2026-04-17 06:01:37.070904
2,0.9017876088619232,COMPLETE,0.0002618679775686906,16,0.15,16,0.03,0.0002776720859171089,2026-04-17 06:01:38.442674,2026-04-17 07:36:10.622039
3,0.9016525894403458,COMPLETE,6.439063588392069e-05,16,0.05,4,0.05,0.006924759923925616,2026-04-17 07:36:10.950336,2026-04-17 12:16:11.862718
4,0.9019058272242546,COMPLETE,0.0001194605475735473,32,0.15,16,0.08,0.001285614641931596,2026-04-17 12:16:12.315895,2026-04-17 15:43:35.917839
5,0.9011602029204369,COMPLETE,5.2809691694377016e-05,16,0.15,8,0.1,0.006099149041197384,2026-04-17 15:43:36.359630,2026-04-17 18:49:08.170993
6,0.9017932116985321,COMPLETE,0.00018881250003913863,32,0.05,8,0.08,0.00028597929116958135,2026-04-17 18:49:08.670527,2026-04-17 20:43:54.405388
7,0.901566244661808,COMPLETE,0.00013060331429779997,64,0.05,4,0.1,0.0001625188000218568,2026-04-17 20:43:54.988467,2026-04-17 22:20:41.027495
8,0.9010910987854004,COMPLETE,6.24152695291358e-05,32,0.0,16,0.05,0.0001050436537201613,2026-04-17 22:20:41.558645,2026-04-18 00:35:20.734125
9,0.9016380161046982,COMPLETE,0.00013435008788633817,64,0.05,8,0.08,0.00016728140090677146,2026-04-18 00:35:21.250001,2026-04-18 02:29:59.172209
10,0.8997097611427307,PRUNED,8.98773383517568e-05,32,0.1,16,0.0,0.018575733482984306,2026-04-18 02:29:59.765324,2026-04-18 03:10:28.770695
11,0.9017441719770432,COMPLETE,0.0001787939249896991,32,0.1,8,0.08,0.0006330780471050136,2026-04-18 03:10:29.386021,2026-04-18 05:04:06.672281
12,0.9015990346670151,COMPLETE,0.0001718603224986694,32,0.05,16,0.08,0.0005330774202785556,2026-04-18 05:04:07.264158,2026-04-18 06:38:26.269052
