clip_id,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
--Ymqszjv54.001,25.507914,0.10714572,23.763643,24.627512,27.339914,3.576271,205.20158,203.09158,18.975096,18.68673,1.0620989,0.7943766,0.26746294,0.7680704,1.8906064,1.6231434,18.7689,10.784585,11.301585,5.9113946,0.63281655,0.9813736,18.249065,1.0363638,4.611812,4.0310345,-0.9187349,-20.193604,6.290018,1.8882142,0.017458005,2.514808,1.2526569,0.6962751,4.300516,0.5966521,5.8296695,1.1651785,23.413322,0.47969556,545.98413,0.4006586,1337.6631,0.17543182,-115.91652,-0.8200536,1570.6106,0.14866613,1006.4645,0.26654693,-117.073166,-0.78601724,2686.1116,0.09662489,1014.8078,0.34281352,-121.80566,-0.7122534,-10.329714,-0.8612924,24.441425,0.3687036,0.021109225,0.9115091,-0.013950637,-0.9129673,1.0214411,0.53877354,32.880096,0.27493942,-1.6906724,-12.377421,7.439676,2.7394736,5.9958973,2.3514204,-3.6963303,12.064699,0.021757718,0.0021837964,0.3297362,3.1354237,2.0763564,0.20129031,0.1470076,0.26032257,0.31652838,-16.340939
--Ymqszjv54.003,25.126215,0.11385263,23.568083,24.617601,26.765774,3.197691,26.793823,22.513718,20.610909,9.524616,0.9839446,0.8886787,0.24634984,0.6517934,1.7571025,1.5107527,17.476038,11.243441,10.167998,6.5638757,0.5228034,1.096991,16.954857,1.0842754,7.154451,2.3396335,0.936372,18.002382,6.7100105,2.2235503,0.014526316,3.6541054,1.1122189,0.70843,5.094876,0.47845513,6.666269,0.9239531,24.69617,0.44057918,581.4076,0.411708,1332.5776,0.16268243,-110.643,-0.8558486,1609.3511,0.17187454,1035.3175,0.32395056,-112.19811,-0.817247,2732.252,0.106379524,989.987,0.32635483,-117.0955,-0.7371472,-12.330368,-0.7574977,26.143965,0.36218515,0.016175529,1.5384375,-0.013828326,-1.21921,0.87830466,0.6017901,31.893608,0.33679843,4.120094,4.986627,7.467165,2.680509,6.7942796,2.6947026,-3.0747976,9.682854,0.02023003,0.004924381,0.19346358,2.5350235,1.8084395,0.2511111,0.1535345,0.2930769,0.36325207,-15.927992
--Ymqszjv54.004,25.574844,0.13701974,23.395996,24.643763,26.983828,3.5878315,82.57891,100.07943,36.169643,24.680635,0.89163715,0.9882082,0.2122184,0.46172187,1.5964814,1.384263,18.587616,13.314609,10.595005,6.1879125,0.51463515,1.2925186,15.2635145,1.1287409,5.4758077,3.017815,-0.0895901,-185.18884,6.601988,1.8183757,0.015258537,1.666498,1.2304329,0.7461188,4.766113,0.5104668,3.8152864,1.8396999,23.948463,0.5428,533.64075,0.3986428,1352.5876,0.18138564,-130.74344,-0.70499176,1564.0745,0.15477939,1019.1176,0.3190315,-132.00253,-0.6722232,2699.8032,0.100269854,1001.71643,0.35980523,-135.86374,-0.6153393,-11.920743,-0.8110915,26.096725,0.37622917,0.018623281,1.1278067,-0.015456308,-0.9702313,0.9575277,0.6249806,32.024452,0.27607334,2.463903,8.487241,8.166213,2.2234495,5.477643,2.9977431,-2.9607012,10.840946,0.016932068,0.0061458773,0.26366818,2.1347566,1.472557,0.23818181,0.20227422,0.44047618,0.4671644,-16.922182
--Ymqszjv54.005,26.497402,0.16416928,24.266638,26.239866,27.665936,3.3992977,115.54307,145.90868,49.455418,34.420475,0.94548005,0.90453446,0.21981275,0.5908235,1.7061601,1.4863473,15.732343,8.289231,11.21175,6.2432504,0.5332248,1.0981005,15.88702,1.1631309,7.070135,2.294396,1.1317302,14.179828,5.428815,2.5236795,0.013713453,1.3821676,1.2081491,0.6777309,4.827272,0.5965242,4.8108964,1.5643824,22.77521,0.5254679,576.8872,0.4125148,1306.3763,0.17172292,-123.40909,-0.7495954,1591.9406,0.18444213,1017.05975,0.3225609,-124.625,-0.7141466,2708.9258,0.11257141,956.6453,0.2986931,-127.992714,-0.6596893,-10.616898,-0.96054834,24.501644,0.44965738,0.016729638,1.295844,-0.015008308,-1.5538347,0.99426293,0.52880573,31.701046,0.41258675,2.942135,6.7656302,7.5532675,2.537488,4.987162,3.5949626,-3.7129247,10.170913,0.017997544,0.004366369,0.21437897,2.6684456,2.0763564,0.18774192,0.16205753,0.27387094,0.39212963,-15.951823
-2qsCrkXdWs.001,35.444283,0.09162045,32.832863,34.865074,38.30587,5.473007,95.90529,175.3815,21.909246,24.425034,0.6762943,0.7007293,0.2831118,0.52658224,1.0432754,0.76016355,8.639472,6.1074824,6.307892,4.3879466,0.19050457,0.96654236,10.417268,1.3841162,0.14321885,104.17513,7.1540947,2.7185736,-5.528424,-2.4577496,0.009594774,1.2670264,0.92462635,0.65021473,7.9874115,0.46393496,5.8050766,2.0205834,14.195263,0.81738657,689.6601,0.3859001,1383.1117,0.18105252,-82.031654,-1.1083219,1712.3473,0.12554654,1042.1279,0.33426887,-77.8601,-1.092008,2700.6697,0.096605755,1051.6567,0.36155605,-78.66818,-1.0730646,-8.246608,-0.7403894,16.489716,0.48273847,0.058023702,0.3486588,-0.009978104,-1.1146117,0.23561691,0.7194848,17.796799,0.54343,-0.8544805,-17.5775,9.304217,2.3386092,-7.7043133,-1.8537966,2.850653,3.042424,0.038394697,0.009242258,0.09623078,2.9352903,1.674481,0.3868,0.39890566,0.19874999,0.16867898,-25.522635
-55DRRMTppE.000,35.447582,0.22831257,33.46596,36.654728,41.13056,7.6646004,304.10544,420.9946,235.09639,674.4579,1.4483473,0.7132074,0.5928925,1.144949,2.1584702,1.5655776,19.607176,10.360319,11.135108,5.8742213,0.84637254,0.8642278,22.882256,0.35308453,-1.6612657,-8.031437,17.819723,0.9671657,-19.388407,-1.0553701,0.01864679,1.5982741,1.0587001,0.55432254,6.455461,0.4942907,11.261319,1.1084951,17.163664,0.66816944,691.1337,0.29859534,1296.0111,0.2055,-92.71269,-0.9782222,1763.382,0.13010943,993.4392,0.43891248,-88.61056,-0.9477176,2776.6963,0.08470165,903.2511,0.4343617,-87.780014,-0.9635408,-8.899702,-0.7481533,16.90811,0.5175426,0.012263383,2.4271882,-0.023314906,-0.70270133,1.0856731,0.7276502,24.742388,0.3243075,-5.1752744,-2.6907334,18.599558,0.9881736,-25.94273,-0.7289458,-8.549112,17.06685,-0.0050008036,-0.016172538,0.46464577,3.0020013,3.348962,0.1734,0.15567414,0.11391304,0.09437386,-14.498586
-55DRRMTppE.005,36.687943,0.22052963,35.093258,37.8439,41.734203,6.6409454,564.5372,1073.7836,214.89944,324.71524,1.4808303,0.6717149,0.59589934,1.2412839,2.19861,1.6027107,20.724731,11.533625,13.85109,6.4231176,0.93273324,0.8528275,20.078299,0.569588,-0.39630294,-36.572243,16.381987,1.1319804,-12.015976,-2.043132,0.020169422,1.4390267,1.162513,0.60324156,6.3954334,0.56644064,11.707611,1.0769728,17.333843,0.6926053,737.14667,0.3059747,1231.8383,0.19696176,-105.23409,-0.85087025,1810.7944,0.13458173,946.14905,0.42539525,-96.492615,-0.8622022,2831.7153,0.0827853,873.2696,0.3586418,-96.00878,-0.8721726,-8.493676,-0.9074147,17.644815,0.54712534,0.014311503,2.2222874,-0.017946811,-1.0245891,1.2282779,0.6894335,23.932604,0.38237143,-3.9146266,-3.615808,17.131191,1.1994479,-21.27603,-1.0898031,-5.545505,14.856797,-0.010687757,-0.0067700776,0.53235054,3.4689794,3.8152611,0.14157894,0.10346267,0.10884615,0.1032669,-14.053213
-5riMLK-PgU.001,23.553167,0.10309309,22.249907,23.005413,24.708801,2.4588947,229.7553,256.9025,15.88916,11.540381,0.41237882,0.5352088,0.2080701,0.37867406,0.606424,0.39835387,3.689037,2.6867237,2.8206623,1.5819646,0.13333067,0.8039425,24.951927,0.56196576,-5.4319634,-2.2108147,14.875103,0.8127128,-0.53447914,-23.140947,0.015493827,1.0473704,1.1214076,0.66179013,4.4392924,0.45452118,6.0107775,0.80027455,27.05468,0.33691078,550.5459,0.3944636,1339.5936,0.1431979,-118.452866,-0.80134416,1602.701,0.167207,1049.3392,0.27500513,-123.122185,-0.72072387,2645.045,0.11558689,946.5803,0.25995892,-125.248535,-0.6886755,-15.273584,-0.43706253,24.117775,0.31125167,0.030714735,0.6210324,-0.019447766,-0.9301057,0.20583539,0.52106506,37.491608,0.2236462,0.17912485,62.803272,18.369251,0.76335603,-1.6628414,-9.362513,-2.3717,11.881814,0.020690389,0.008751609,0.08151263,2.7351568,1.8754187,0.21357143,0.17130204,0.31037036,0.30081964,-29.27607
-6otZ7M-Mro.000,25.546635,0.14084662,23.059458,24.846966,26.568548,3.5090904,126.85116,143.0744,54.857517,55.542362,1.0159993,0.4506387,0.584591,0.9731265,1.4132462,0.8286552,12.048901,7.8863835,8.426507,4.525214,0.53808284,0.6953834,21.32377,0.7708026,3.134888,4.765088,6.9740667,1.8122267,-0.85521513,-15.47914,0.022715189,1.5198544,1.3882835,0.5926253,3.8583252,0.65721774,5.3701916,1.4205801,25.960527,0.32877213,620.31866,0.4073423,1342.9608,0.21009724,-107.23077,-0.89967346,1649.9044,0.17727251,1002.56323,0.24028894,-108.41593,-0.84943384,2727.7722,0.11333029,968.332,0.32053387,-111.98526,-0.7889872,-12.643884,-0.531157,24.408506,0.26204166,0.034536038,0.6786612,-0.016366314,-0.9441296,0.7209716,0.51655823,31.246866,0.32228822,1.6503094,8.396768,6.6955066,2.118059,-3.2206242,-4.8117356,-4.669261,13.259263,0.01970486,-0.0038474675,0.36662954,4.2028017,2.613941,0.17384614,0.16510472,0.18871795,0.1668437,-18.56646
-6otZ7M-Mro.001,21.73148,0.08808776,20.707512,21.352877,22.504341,1.7968292,109.8867,109.17589,15.191138,15.152287,0.7383173,0.49861836,0.38930076,0.69915724,1.0740522,0.68475145,8.525919,5.1014147,4.7938256,1.7846377,0.3384425,0.7441838,19.477432,0.9516264,5.8304696,2.382232,6.446172,1.8313549,0.9002412,14.847842,0.02273954,1.7047803,1.3012682,0.5630777,2.7621105,0.61924887,-1.93022,-3.7636523,20.979004,0.43912643,562.66364,0.39573961,1313.5789,0.13799094,-119.85442,-0.7709169,1614.3962,0.17871721,1019.10535,0.24003075,-123.41195,-0.7105644,2675.1008,0.11509859,1022.81396,0.2903573,-126.79834,-0.6605177,-13.0627,-0.4958581,25.241034,0.24966744,0.010016486,2.3134644,-0.016077343,-0.895601,0.46702504,0.50033927,32.774754,0.25760093,3.746148,3.342318,6.5276093,2.1788352,1.2520741,12.564112,-3.5420704,12.0439625,0.0044709337,-0.00033774783,0.24776204,3.5356905,2.3427043,0.16857143,0.122314416,0.23771429,0.18836263,-22.844933
