split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.8949623,0.10503768,0.1319207,0.20338374,0.001
val,neuroticism,0.89492416,0.10507584,0.1326891,0.21149743,0.001
val,agreeableness,0.90564525,0.094354756,0.12028533,0.10610527,0.001
val,conscientiousness,0.8869233,0.11307669,0.14255325,0.16012079,0.001
val,openness,0.8999661,0.100033864,0.12640977,0.22070491,0.001
val,extraversion,0.8949631,0.10503693,0.13191992,0.20339298,0.003
val,neuroticism,0.8949244,0.105075605,0.13268885,0.21150035,0.003
val,agreeableness,0.9056454,0.0943546,0.12028511,0.106108606,0.003
val,conscientiousness,0.8869233,0.11307666,0.14255331,0.16012019,0.003
val,openness,0.8999661,0.10003388,0.12640978,0.22070473,0.003
val,extraversion,0.89496654,0.10503347,0.13191661,0.20343304,0.01
val,neuroticism,0.89492565,0.10507434,0.13268748,0.21151668,0.01
val,agreeableness,0.90564626,0.09435372,0.120284006,0.10612494,0.01
val,conscientiousness,0.88692343,0.11307658,0.14255328,0.16012055,0.01
val,openness,0.8999662,0.10003384,0.12640974,0.22070545,0.01
val,extraversion,0.8949766,0.1050234,0.131907,0.20354909,0.03
val,neuroticism,0.8949296,0.10507043,0.13268313,0.21156836,0.03
val,agreeableness,0.90564877,0.09435123,0.120280944,0.106170475,0.03
val,conscientiousness,0.8869236,0.11307638,0.14255314,0.16012222,0.03
val,openness,0.8999663,0.100033715,0.12640959,0.22070718,0.03
val,extraversion,0.8950032,0.1049968,0.13188128,0.20385975,0.1
val,neuroticism,0.8949407,0.10505931,0.13267073,0.21171564,0.1
val,agreeableness,0.90565634,0.094343685,0.12027296,0.10628915,0.1
val,conscientiousness,0.8869242,0.113075785,0.14255266,0.16012794,0.1
val,openness,0.89996654,0.100033455,0.12640914,0.22071272,0.1
val,extraversion,0.89504164,0.104958355,0.131846,0.20428568,0.3
val,neuroticism,0.8949587,0.10504134,0.13264948,0.21196812,0.3
val,agreeableness,0.90566754,0.09433246,0.12026279,0.106440306,0.3
val,conscientiousness,0.8869257,0.11307428,0.1425505,0.16015339,0.3
val,openness,0.8999673,0.10003269,0.12640782,0.22072905,0.3
val,extraversion,0.8950799,0.104920104,0.13181338,0.20467925,1.0
val,neuroticism,0.89498407,0.105015956,0.13261914,0.21232861,1.0
val,agreeableness,0.9056771,0.094322905,0.12025344,0.106579065,1.0
val,conscientiousness,0.8869299,0.113070086,0.1425408,0.16026753,1.0
val,openness,0.89997363,0.100026384,0.12640102,0.22081292,1.0
val,extraversion,0.8951153,0.10488469,0.13177876,0.20509696,3.0
val,neuroticism,0.89501244,0.104987554,0.13258356,0.21275133,3.0
val,agreeableness,0.90568876,0.09431123,0.12023695,0.10682422,3.0
val,conscientiousness,0.8869386,0.11306141,0.14251475,0.1605745,3.0
val,openness,0.8999956,0.10000439,0.1263775,0.2211029,3.0
val,extraversion,0.8951979,0.10480208,0.13168252,0.20625764,10.0
val,neuroticism,0.8950635,0.104936466,0.13250841,0.21364349,10.0
val,agreeableness,0.9057356,0.0942644,0.12018335,0.10762036,10.0
val,conscientiousness,0.88695395,0.113046065,0.14245023,0.16133451,10.0
val,openness,0.90006506,0.09993495,0.12630297,0.2220211,10.0
val,extraversion,0.89537686,0.104623154,0.1314983,0.2084769,30.0
val,neuroticism,0.8951467,0.10485329,0.13238052,0.21516067,30.0
val,agreeableness,0.90583944,0.094160564,0.1200862,0.10906249,30.0
val,conscientiousness,0.88693696,0.11306304,0.14235803,0.16241962,30.0
val,openness,0.90021247,0.099787556,0.12616046,0.22377586,30.0
val,extraversion,0.8956472,0.10435275,0.13124914,0.21147352,100.0
val,neuroticism,0.89523494,0.10476503,0.13224883,0.21672118,100.0
val,agreeableness,0.9060092,0.09399082,0.119979344,0.11064738,100.0
val,conscientiousness,0.8868217,0.113178335,0.1423159,0.16291535,100.0
val,openness,0.90045184,0.09954818,0.12597415,0.22606683,100.0
val,extraversion,0.89578784,0.10421216,0.13116765,0.21245247,300.0
val,neuroticism,0.8951428,0.104857236,0.13234444,0.21558839,300.0
val,agreeableness,0.90612495,0.09387506,0.119961105,0.11091769,300.0
val,conscientiousness,0.88655174,0.11344824,0.14250804,0.16065359,300.0
val,openness,0.900554,0.099445984,0.12593986,0.22648805,300.0
val,extraversion,0.8955759,0.104424104,0.13140367,0.2096157,1000.0
val,neuroticism,0.89460796,0.105392046,0.13290027,0.20898563,1000.0
val,agreeableness,0.906067,0.09393297,0.120067246,0.10934371,1000.0
val,conscientiousness,0.88598436,0.11401565,0.14301041,0.15472549,1000.0
val,openness,0.9002704,0.09972961,0.12622039,0.22303826,1000.0
val,extraversion,0.8949843,0.10501568,0.13201392,0.20225745,3000.0
val,neuroticism,0.8936144,0.10638561,0.13393807,0.19658351,3000.0
val,agreeableness,0.9057721,0.0942279,0.12038474,0.10462725,3000.0
val,conscientiousness,0.885177,0.114822954,0.14373377,0.14615291,3000.0
val,openness,0.8996501,0.10034992,0.12691239,0.21449566,3000.0
val,extraversion,0.89372194,0.10627806,0.13335171,0.18600726,10000.0
val,neuroticism,0.8919226,0.10807738,0.13568509,0.17548823,10000.0
val,agreeableness,0.90502024,0.09497979,0.12114095,0.09334314,10000.0
val,conscientiousness,0.8836374,0.11636255,0.14512,0.1296038,10000.0
val,openness,0.89840555,0.101594426,0.12830088,0.19721395,10000.0
val,extraversion,0.89170545,0.10829453,0.135505,0.15950727,30000.0
val,neuroticism,0.88978827,0.110211715,0.13787422,0.14866847,30000.0
val,agreeableness,0.90399414,0.096005835,0.12226215,0.076482594,30000.0
val,conscientiousness,0.88137376,0.11862624,0.14726038,0.10373926,30000.0
val,openness,0.8963541,0.10364593,0.13040921,0.17061305,30000.0
val,extraversion,0.88825065,0.11174937,0.13920937,0.11292517,100000.0
val,neuroticism,0.8863548,0.11364518,0.14137676,0.10486454,100000.0
val,agreeableness,0.9024729,0.09752708,0.1239355,0.0510301,100000.0
val,conscientiousness,0.87850535,0.12149467,0.15033536,0.065918386,100000.0
val,openness,0.89273876,0.107261255,0.13420199,0.1216684,100000.0
