split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.8988219,0.1011781,0.1257,0.2767409,0.001
val,neuroticism,0.8999654,0.100034595,0.12680024,0.2799332,0.001
val,agreeableness,0.90585184,0.094148174,0.11991923,0.11153835,0.001
val,conscientiousness,0.8963916,0.103608444,0.13080908,0.2928065,0.001
val,openness,0.9006315,0.09936853,0.12455845,0.24336392,0.001
val,extraversion,0.89882207,0.101177946,0.12569961,0.27674544,0.003
val,neuroticism,0.899966,0.100034006,0.12679973,0.27993894,0.003
val,agreeableness,0.9058523,0.094147675,0.119918704,0.1115461,0.003
val,conscientiousness,0.89639175,0.10360822,0.1308088,0.2928095,0.003
val,openness,0.90063196,0.09936801,0.12455793,0.24337035,0.003
val,extraversion,0.89882284,0.10117718,0.12569855,0.27675766,0.01
val,neuroticism,0.89996684,0.10003318,0.1267986,0.27995193,0.01
val,agreeableness,0.9058529,0.09414708,0.1199178,0.11155945,0.01
val,conscientiousness,0.89639276,0.103607215,0.13080733,0.29282546,0.01
val,openness,0.90063286,0.099367134,0.12455669,0.24338531,0.01
val,extraversion,0.8988255,0.101174496,0.125695,0.27679843,0.03
val,neuroticism,0.89996964,0.10003036,0.12679502,0.27999252,0.03
val,agreeableness,0.9058552,0.094144806,0.11991488,0.11160272,0.03
val,conscientiousness,0.8963953,0.10360468,0.13080412,0.29286003,0.03
val,openness,0.9006355,0.09936449,0.12455334,0.24342608,0.03
val,extraversion,0.89883417,0.10116582,0.125684,0.27692515,0.1
val,neuroticism,0.8999783,0.10002171,0.12678395,0.2801181,0.1
val,agreeableness,0.9058615,0.09413852,0.119906515,0.1117267,0.1
val,conscientiousness,0.8964038,0.103596225,0.13079242,0.2929865,0.1
val,openness,0.9006441,0.09935588,0.12454207,0.24356288,0.1
val,extraversion,0.89885795,0.10114204,0.12565303,0.27728152,0.3
val,neuroticism,0.9000027,0.099997275,0.12675242,0.28047615,0.3
val,agreeableness,0.9058803,0.09411973,0.11988147,0.11209762,0.3
val,conscientiousness,0.8964287,0.10357132,0.13075858,0.29335237,0.3
val,openness,0.9006687,0.09933133,0.124510355,0.24394816,0.3
val,extraversion,0.8989405,0.10105952,0.12554757,0.27849406,1.0
val,neuroticism,0.9000842,0.0999158,0.12664652,0.28167796,1.0
val,agreeableness,0.90594316,0.09405683,0.119797625,0.113339305,1.0
val,conscientiousness,0.8965136,0.1034864,0.13064474,0.2945822,1.0
val,openness,0.90075016,0.09924987,0.12440314,0.24524969,1.0
val,extraversion,0.899152,0.10084801,0.12528169,0.28154677,3.0
val,neuroticism,0.90028745,0.09971256,0.12638049,0.28469253,3.0
val,agreeableness,0.90609926,0.09390076,0.1195843,0.11649436,3.0
val,conscientiousness,0.89672464,0.103275344,0.1303591,0.29766363,3.0
val,openness,0.9009518,0.09904819,0.12413015,0.24855846,3.0
val,extraversion,0.899668,0.10033203,0.12461788,0.2891401,10.0
val,neuroticism,0.9007706,0.09922942,0.12572266,0.29211986,10.0
val,agreeableness,0.9065213,0.09347866,0.11904239,0.124483585,10.0
val,conscientiousness,0.89726055,0.102739446,0.12965003,0.3052833,10.0
val,openness,0.9014673,0.09853271,0.12343154,0.25699294,10.0
val,extraversion,0.90032744,0.09967257,0.123656146,0.3000698,30.0
val,neuroticism,0.90140986,0.09859015,0.12476565,0.30285573,30.0
val,agreeableness,0.9071858,0.09281418,0.11823551,0.13631189,30.0
val,conscientiousness,0.8980522,0.101947755,0.12863001,0.31617153,30.0
val,openness,0.902241,0.09775902,0.12238662,0.2695197,30.0
val,extraversion,0.9012222,0.098777756,0.12254424,0.31260073,100.0
val,neuroticism,0.9021806,0.097819395,0.12353935,0.31649256,100.0
val,agreeableness,0.90805864,0.091941364,0.1172142,0.1511684,100.0
val,conscientiousness,0.899212,0.10078797,0.12739013,0.3292911,100.0
val,openness,0.9032045,0.09679548,0.12113235,0.28441548,100.0
val,extraversion,0.9019354,0.09806462,0.121786796,0.32107204,300.0
val,neuroticism,0.9028102,0.09718978,0.12243796,0.32862556,300.0
val,agreeableness,0.90881824,0.09118176,0.11628946,0.16450912,300.0
val,conscientiousness,0.9000849,0.0999151,0.12641282,0.3395427,300.0
val,openness,0.90403795,0.09596203,0.12014827,0.29599512,300.0
val,extraversion,0.90230125,0.09769877,0.12147679,0.324524,1000.0
val,neuroticism,0.9032911,0.0967089,0.12156757,0.33813697,1000.0
val,agreeableness,0.9095436,0.090456426,0.11546937,0.17625159,1000.0
val,conscientiousness,0.9005033,0.099496745,0.1259628,0.34423673,1000.0
val,openness,0.9046236,0.095376395,0.11950014,0.30357003,1000.0
val,extraversion,0.9019168,0.09808318,0.121857755,0.32028067,3000.0
val,neuroticism,0.90330863,0.09669134,0.121446654,0.33945298,3000.0
val,agreeableness,0.9098995,0.09010055,0.115149476,0.18080938,3000.0
val,conscientiousness,0.9000243,0.099975705,0.12651102,0.33851624,3000.0
val,openness,0.90450066,0.09549935,0.119616404,0.30221426,3000.0
val,extraversion,0.900849,0.099151015,0.12324598,0.30470544,10000.0
val,neuroticism,0.9024337,0.09756629,0.12244724,0.32852376,10000.0
val,agreeableness,0.9097029,0.09029709,0.11546864,0.17626184,10000.0
val,conscientiousness,0.89840937,0.10159061,0.12829787,0.31969857,10000.0
val,openness,0.9035565,0.096443474,0.12079972,0.2883401,10000.0
val,extraversion,0.89903796,0.10096207,0.12570632,0.27666837,30000.0
val,neuroticism,0.9003389,0.099661134,0.124855705,0.3018489,30000.0
val,agreeableness,0.9087731,0.09122687,0.11644628,0.16225421,30000.0
val,conscientiousness,0.89583933,0.10416067,0.1310513,0.29018503,30000.0
val,openness,0.90171796,0.09828202,0.12313216,0.26059288,30000.0
val,extraversion,0.89593506,0.10406491,0.12975454,0.22932994,100000.0
val,neuroticism,0.8963144,0.10368561,0.12928225,0.25146794,100000.0
val,agreeableness,0.9071779,0.09282206,0.118190356,0.1369716,100000.0
val,conscientiousness,0.8917201,0.108279906,0.13546629,0.24155343,100000.0
val,openness,0.8984542,0.10154583,0.12697756,0.21368855,100000.0
