split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.897033,0.10296704,0.12833989,0.24604303,0.001
val,neuroticism,0.8995191,0.10048092,0.12588102,0.29033542,0.001
val,agreeableness,0.9056069,0.09439309,0.119463876,0.11827284,0.001
val,conscientiousness,0.89642274,0.103577256,0.13113943,0.2892301,0.001
val,openness,0.8998078,0.10019216,0.12669887,0.21713644,0.001
val,extraversion,0.8970338,0.1029662,0.12834159,0.24602306,0.003
val,neuroticism,0.8995194,0.10048062,0.12588046,0.29034162,0.003
val,agreeableness,0.9056076,0.094392404,0.1194649,0.11825776,0.003
val,conscientiousness,0.8964231,0.10357688,0.13113774,0.2892483,0.003
val,openness,0.8998,0.10020001,0.12669788,0.2171486,0.003
val,extraversion,0.8970415,0.1029585,0.12833278,0.24612641,0.01
val,neuroticism,0.89952266,0.10047734,0.12587506,0.2904027,0.01
val,agreeableness,0.90561247,0.09438756,0.119457275,0.118370235,0.01
val,conscientiousness,0.8964244,0.103575595,0.13113655,0.2892611,0.01
val,openness,0.8998042,0.10019582,0.12668844,0.21726543,0.01
val,extraversion,0.89704967,0.10295031,0.12832211,0.2462517,0.03
val,neuroticism,0.8995308,0.10046917,0.12586333,0.29053485,0.03
val,agreeableness,0.9056193,0.094380654,0.119446255,0.118532896,0.03
val,conscientiousness,0.89643484,0.10356515,0.13112293,0.2894088,0.03
val,openness,0.8998131,0.10018686,0.12667651,0.21741265,0.03
val,extraversion,0.89708364,0.10291635,0.12828112,0.24673325,0.1
val,neuroticism,0.8995534,0.10044659,0.12582567,0.2909593,0.1
val,agreeableness,0.9056413,0.09435865,0.119409844,0.11907011,0.1
val,conscientiousness,0.8964685,0.10353147,0.13108121,0.2898609,0.1
val,openness,0.8998432,0.10015677,0.12663075,0.21797794,0.1
val,extraversion,0.897177,0.10282301,0.12816963,0.24804199,0.3
val,neuroticism,0.89962304,0.10037696,0.1257157,0.29219818,0.3
val,agreeableness,0.9057054,0.09429463,0.119303405,0.12063992,0.3
val,conscientiousness,0.896559,0.103441015,0.13096811,0.29108584,0.3
val,openness,0.8999278,0.10007223,0.12649766,0.21962094,0.3
val,extraversion,0.8974683,0.102531664,0.12781571,0.25218916,1.0
val,neuroticism,0.8998301,0.10016991,0.12538274,0.2959426,1.0
val,agreeableness,0.90589327,0.09410672,0.11898294,0.12535775,1.0
val,conscientiousness,0.89683515,0.103164874,0.13061963,0.2948534,1.0
val,openness,0.900181,0.099819005,0.12609535,0.22457683,1.0
val,extraversion,0.89804083,0.101959154,0.12707995,0.26077372,3.0
val,neuroticism,0.90023106,0.099768914,0.12473211,0.3032304,3.0
val,agreeableness,0.9062758,0.09372417,0.118350506,0.1346311,3.0
val,conscientiousness,0.8973656,0.10263435,0.12993592,0.30221617,3.0
val,openness,0.9006916,0.09930836,0.12528165,0.23455226,3.0
val,extraversion,0.8990398,0.100960195,0.12580195,0.27556717,10.0
val,neuroticism,0.900871,0.099129,0.12371699,0.31452549,10.0
val,agreeableness,0.90684277,0.09315724,0.11735741,0.14909303,10.0
val,conscientiousness,0.89818615,0.10181387,0.12881324,0.31422204,10.0
val,openness,0.9015712,0.09842876,0.12390905,0.25123304,10.0
val,extraversion,0.899944,0.10005601,0.12468667,0.288355,30.0
val,neuroticism,0.9014558,0.09854416,0.12294052,0.32310277,30.0
val,agreeableness,0.90737176,0.09262827,0.11657053,0.16046542,30.0
val,conscientiousness,0.89885265,0.10114736,0.12784046,0.32454073,30.0
val,openness,0.90233004,0.09766996,0.12270901,0.26566613,30.0
val,extraversion,0.9003745,0.09962552,0.12405533,0.29554343,100.0
val,neuroticism,0.90175474,0.098245285,0.12259917,0.32685643,100.0
val,agreeableness,0.90782195,0.09217804,0.11616315,0.16632307,100.0
val,conscientiousness,0.89915204,0.10084797,0.12733893,0.3298301,100.0
val,openness,0.9028317,0.097168334,0.121956594,0.27464402,100.0
val,extraversion,0.9001976,0.09980236,0.124044545,0.29566598,300.0
val,neuroticism,0.9016617,0.09833832,0.12275346,0.32516104,300.0
val,agreeableness,0.907927,0.092073046,0.116160884,0.16635555,300.0
val,conscientiousness,0.8987841,0.101215914,0.12770274,0.3259952,300.0
val,openness,0.90291953,0.09708047,0.12178342,0.27670252,300.0
val,extraversion,0.8996799,0.10032011,0.12460039,0.28933966,1000.0
val,neuroticism,0.90102893,0.09897109,0.12350055,0.31692183,1000.0
val,agreeableness,0.90782845,0.09217158,0.11639091,0.16305059,1000.0
val,conscientiousness,0.89755,0.10244999,0.12916377,0.3104847,1000.0
val,openness,0.9027003,0.09729968,0.122033834,0.2737249,1000.0
val,extraversion,0.89889663,0.10110337,0.12565611,0.27724588,3000.0
val,neuroticism,0.9000714,0.099928625,0.12479279,0.30255228,3000.0
val,agreeableness,0.90763116,0.09236881,0.11678457,0.15737951,3000.0
val,conscientiousness,0.8959301,0.10406988,0.13126796,0.28783602,3000.0
val,openness,0.90216494,0.09783504,0.12279197,0.26467294,3000.0
val,extraversion,0.89783555,0.102164425,0.1272016,0.2593578,10000.0
val,neuroticism,0.898742,0.10125798,0.12665306,0.28160387,10000.0
val,agreeableness,0.907328,0.09267198,0.11737548,0.14883101,10000.0
val,conscientiousness,0.8936694,0.106330566,0.13406514,0.2571618,10000.0
val,openness,0.9011816,0.09881841,0.12417569,0.248007,10000.0
val,extraversion,0.8967154,0.10328461,0.12880869,0.24052477,30000.0
val,neuroticism,0.8970042,0.10299582,0.12878078,0.25726354,30000.0
val,agreeableness,0.9068489,0.09315108,0.11815325,0.1375134,30000.0
val,conscientiousness,0.8910706,0.108929366,0.13700126,0.2242682,30000.0
val,openness,0.8998213,0.10017871,0.12573999,0.22894126,30000.0
val,extraversion,0.8944817,0.10551826,0.13151586,0.20826542,100000.0
val,neuroticism,0.89372224,0.10627774,0.13233784,0.21566647,100000.0
val,agreeableness,0.90572774,0.094272256,0.11967705,0.11512315,100000.0
val,conscientiousness,0.8873474,0.11265261,0.14081834,0.18043953,100000.0
val,openness,0.8974252,0.102574855,0.12831181,0.19707698,100000.0
