split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.9024907,0.09750931,0.122491166,0.31319594,0.001
val,neuroticism,0.9009025,0.09909747,0.12464137,0.3042438,0.001
val,agreeableness,0.90443116,0.09556885,0.12111889,0.09367329,0.001
val,conscientiousness,0.89768434,0.10231567,0.12794247,0.32346225,0.001
val,openness,0.9039612,0.096038826,0.120913856,0.2869947,0.001
val,extraversion,0.9024908,0.09750919,0.12249103,0.31319743,0.003
val,neuroticism,0.90090287,0.09909711,0.12464086,0.30424958,0.003
val,agreeableness,0.90443164,0.09556835,0.12111847,0.09367949,0.003
val,conscientiousness,0.8976849,0.10231512,0.12794182,0.32346916,0.003
val,openness,0.9039615,0.0960385,0.120913446,0.28699952,0.003
val,extraversion,0.9024918,0.097508185,0.1224895,0.31321466,0.01
val,neuroticism,0.9009041,0.09909588,0.12463919,0.30426818,0.01
val,agreeableness,0.90443283,0.09556718,0.12111685,0.093703866,0.01
val,conscientiousness,0.8976865,0.10231351,0.12794024,0.3234859,0.01
val,openness,0.90396297,0.09603706,0.120912015,0.28701645,0.01
val,extraversion,0.9024949,0.09750512,0.12248595,0.31325442,0.03
val,neuroticism,0.9009077,0.099092305,0.12463485,0.30431664,0.03
val,agreeableness,0.90443647,0.095563546,0.12111222,0.09377313,0.03
val,conscientiousness,0.8976914,0.102308586,0.12793565,0.32353455,0.03
val,openness,0.9039663,0.09603368,0.120907865,0.28706527,0.03
val,extraversion,0.9025044,0.097495615,0.122473314,0.3133961,0.1
val,neuroticism,0.90092003,0.09907994,0.12461946,0.30448842,0.1
val,agreeableness,0.9044491,0.09555091,0.121096335,0.09401077,0.1
val,conscientiousness,0.897707,0.102293,0.12792031,0.32369673,0.1
val,openness,0.90397817,0.09602181,0.12089355,0.28723413,0.1
val,extraversion,0.90253085,0.097469166,0.122438185,0.31378996,0.3
val,neuroticism,0.90095353,0.0990465,0.1245778,0.3049534,0.3
val,agreeableness,0.9044845,0.09551546,0.12105139,0.09468317,0.3
val,conscientiousness,0.89775145,0.10224855,0.12787691,0.32415545,0.3
val,openness,0.9040111,0.09598894,0.1208542,0.2876981,0.3
val,extraversion,0.9026181,0.09738187,0.122321755,0.31509447,1.0
val,neuroticism,0.9010674,0.09893262,0.12443774,0.30651534,1.0
val,agreeableness,0.9046018,0.095398165,0.12090221,0.09691316,1.0
val,conscientiousness,0.89790094,0.10209903,0.12773274,0.3256786,1.0
val,openness,0.90411913,0.095880896,0.12072337,0.28923947,1.0
val,extraversion,0.90283227,0.097167715,0.122036844,0.3182813,3.0
val,neuroticism,0.9013448,0.09865521,0.12409089,0.31037593,3.0
val,agreeableness,0.90489006,0.09510992,0.12052822,0.10249156,3.0
val,conscientiousness,0.89826304,0.10173695,0.12737796,0.3294193,3.0
val,openness,0.9043841,0.0956159,0.12039819,0.29306322,3.0
val,extraversion,0.9033068,0.09669321,0.12137194,0.32568955,10.0
val,neuroticism,0.90198886,0.098011106,0.12326178,0.31956053,10.0
val,agreeableness,0.905583,0.09441696,0.11960617,0.11617112,10.0
val,conscientiousness,0.8991016,0.100898355,0.1265371,0.33824342,10.0
val,openness,0.9050069,0.09499312,0.11961279,0.30225635,10.0
val,extraversion,0.90389,0.09611,0.12050957,0.33523768,30.0
val,neuroticism,0.90286607,0.097133934,0.12213167,0.3319804,30.0
val,agreeableness,0.9066199,0.0933801,0.11826371,0.13590002,30.0
val,conscientiousness,0.9001861,0.09981387,0.12540844,0.34999603,30.0
val,openness,0.90586543,0.09413455,0.118541546,0.31469834,30.0
val,extraversion,0.9043762,0.09562377,0.11971334,0.34399307,100.0
val,neuroticism,0.90393597,0.096064016,0.120875694,0.34564924,100.0
val,agreeableness,0.90792614,0.09207388,0.11665508,0.1592471,100.0
val,conscientiousness,0.90130436,0.09869563,0.124239154,0.3620605,100.0
val,openness,0.9067205,0.09327946,0.11745508,0.32720268,100.0
val,extraversion,0.9044366,0.09556339,0.11947516,0.34660083,300.0
val,neuroticism,0.904588,0.095412046,0.11998514,0.3552556,300.0
val,agreeableness,0.90888476,0.091115244,0.11545086,0.17651564,300.0
val,conscientiousness,0.90193444,0.09806554,0.12361769,0.36842674,300.0
val,openness,0.9071355,0.09286452,0.11690328,0.33350933,300.0
val,extraversion,0.9040203,0.095979676,0.119774334,0.34332442,1000.0
val,neuroticism,0.9047177,0.095282294,0.11954143,0.36001533,1000.0
val,agreeableness,0.90953404,0.09046598,0.11463991,0.1880436,1000.0
val,conscientiousness,0.90204406,0.09795596,0.12365597,0.3680355,1000.0
val,openness,0.9071974,0.09280261,0.116865,0.33394575,1000.0
val,extraversion,0.9034094,0.096590556,0.12041849,0.33624214,3000.0
val,neuroticism,0.9043226,0.09567737,0.119794235,0.35730565,3000.0
val,agreeableness,0.9097612,0.090238824,0.1144194,0.19116414,3000.0
val,conscientiousness,0.90168715,0.09831284,0.12437303,0.36068493,3000.0
val,openness,0.90673316,0.093266815,0.11737268,0.3281464,3000.0
val,extraversion,0.9024132,0.09758679,0.12167536,0.3223139,10000.0
val,neuroticism,0.90342695,0.09657305,0.12094313,0.34491897,10000.0
val,agreeableness,0.90980047,0.09019954,0.11467473,0.18755025,10000.0
val,conscientiousness,0.900439,0.09956097,0.1259493,0.34437734,10000.0
val,openness,0.9055203,0.09447971,0.11881321,0.31155372,10000.0
val,extraversion,0.90082836,0.09917167,0.12390752,0.29722118,30000.0
val,neuroticism,0.9016949,0.09830512,0.12317071,0.32056558,30000.0
val,agreeableness,0.9093957,0.090604335,0.11544164,0.17664707,30000.0
val,conscientiousness,0.8982772,0.10172277,0.12850253,0.31752628,30000.0
val,openness,0.90351754,0.09648247,0.121356525,0.2817645,30000.0
val,extraversion,0.897533,0.10246701,0.12821467,0.24751335,100000.0
val,neuroticism,0.8978316,0.10216838,0.12759799,0.27084428,100000.0
val,agreeableness,0.90810955,0.09189046,0.11710952,0.15268391,100000.0
val,conscientiousness,0.8938023,0.106197745,0.13327289,0.26591533,100000.0
val,openness,0.8999118,0.100088164,0.12558818,0.23080194,100000.0
