clip_id,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
--Ymqszjv54.000,26.333635,0.07941326,24.828602,26.12035,27.576618,2.7480164,72.95802,131.34158,33.057053,30.621983,0.6932482,1.152127,0.2009221,0.245728,1.2010626,1.0001404,15.06032,10.991991,11.044951,6.8670454,0.35736617,1.5088207,9.732917,1.6279125,6.5915914,2.1097124,1.2199553,14.189215,7.011101,1.4311718,0.018316029,2.1419287,1.1773542,0.7927099,4.932938,0.5270616,4.1358733,1.7464215,19.681425,0.56054944,546.6298,0.38866273,1302.2964,0.17606433,-153.55609,-0.53040624,1598.5248,0.13307133,919.1477,0.28238085,-153.97736,-0.5110461,2672.1643,0.08932058,963.87115,0.34624565,-155.1784,-0.49355397,-11.829425,-0.6904759,21.924957,0.4174557,0.016947271,1.2954161,-0.01839781,-0.78198457,0.95980877,0.5590759,30.35528,0.30946013,0.5749796,33.332916,18.532768,1.0420781,8.419538,1.9132022,-2.521235,7.866623,0.016843295,0.0070810416,0.15464818,1.7344897,1.2048193,0.20055555,0.13422503,0.5768421,0.7322069,-18.408384
--Ymqszjv54.001,25.507914,0.10714572,23.763643,24.627512,27.339914,3.576271,205.20158,203.09158,18.975096,18.68673,1.0620989,0.7943766,0.26746294,0.7680704,1.8906064,1.6231434,18.7689,10.784585,11.301585,5.9113946,0.63281655,0.9813736,18.249065,1.0363638,4.611812,4.0310345,-0.9187349,-20.193604,6.290018,1.8882142,0.017458005,2.514808,1.2526569,0.6962751,4.300516,0.5966521,5.8296695,1.1651785,23.413322,0.47969556,545.98413,0.4006586,1337.6631,0.17543182,-115.91652,-0.8200536,1570.6106,0.14866613,1006.4645,0.26654693,-117.073166,-0.78601724,2686.1116,0.09662489,1014.8078,0.34281352,-121.80566,-0.7122534,-10.329714,-0.8612924,24.441425,0.3687036,0.021109225,0.9115091,-0.013950637,-0.9129673,1.0214411,0.53877354,32.880096,0.27493942,-1.6906724,-12.377421,7.439676,2.7394736,5.9958973,2.3514204,-3.6963303,12.064699,0.021757718,0.0021837964,0.3297362,3.1354237,2.0763564,0.20129031,0.1470076,0.26032257,0.31652838,-16.340939
--Ymqszjv54.003,25.126215,0.11385263,23.568083,24.617601,26.765774,3.197691,26.793823,22.513718,20.610909,9.524616,0.9839446,0.8886787,0.24634984,0.6517934,1.7571025,1.5107527,17.476038,11.243441,10.167998,6.5638757,0.5228034,1.096991,16.954857,1.0842754,7.154451,2.3396335,0.936372,18.002382,6.7100105,2.2235503,0.014526316,3.6541054,1.1122189,0.70843,5.094876,0.47845513,6.666269,0.9239531,24.69617,0.44057918,581.4076,0.411708,1332.5776,0.16268243,-110.643,-0.8558486,1609.3511,0.17187454,1035.3175,0.32395056,-112.19811,-0.817247,2732.252,0.106379524,989.987,0.32635483,-117.0955,-0.7371472,-12.330368,-0.7574977,26.143965,0.36218515,0.016175529,1.5384375,-0.013828326,-1.21921,0.87830466,0.6017901,31.893608,0.33679843,4.120094,4.986627,7.467165,2.680509,6.7942796,2.6947026,-3.0747976,9.682854,0.02023003,0.004924381,0.19346358,2.5350235,1.8084395,0.2511111,0.1535345,0.2930769,0.36325207,-15.927992
--Ymqszjv54.004,25.574844,0.13701974,23.395996,24.643763,26.983828,3.5878315,82.57891,100.07943,36.169643,24.680635,0.89163715,0.9882082,0.2122184,0.46172187,1.5964814,1.384263,18.587616,13.314609,10.595005,6.1879125,0.51463515,1.2925186,15.2635145,1.1287409,5.4758077,3.017815,-0.0895901,-185.18884,6.601988,1.8183757,0.015258537,1.666498,1.2304329,0.7461188,4.766113,0.5104668,3.8152864,1.8396999,23.948463,0.5428,533.64075,0.3986428,1352.5876,0.18138564,-130.74344,-0.70499176,1564.0745,0.15477939,1019.1176,0.3190315,-132.00253,-0.6722232,2699.8032,0.100269854,1001.71643,0.35980523,-135.86374,-0.6153393,-11.920743,-0.8110915,26.096725,0.37622917,0.018623281,1.1278067,-0.015456308,-0.9702313,0.9575277,0.6249806,32.024452,0.27607334,2.463903,8.487241,8.166213,2.2234495,5.477643,2.9977431,-2.9607012,10.840946,0.016932068,0.0061458773,0.26366818,2.1347566,1.472557,0.23818181,0.20227422,0.44047618,0.4671644,-16.922182
--Ymqszjv54.005,26.497402,0.16416928,24.266638,26.239866,27.665936,3.3992977,115.54307,145.90868,49.455418,34.420475,0.94548005,0.90453446,0.21981275,0.5908235,1.7061601,1.4863473,15.732343,8.289231,11.21175,6.2432504,0.5332248,1.0981005,15.88702,1.1631309,7.070135,2.294396,1.1317302,14.179828,5.428815,2.5236795,0.013713453,1.3821676,1.2081491,0.6777309,4.827272,0.5965242,4.8108964,1.5643824,22.77521,0.5254679,576.8872,0.4125148,1306.3763,0.17172292,-123.40909,-0.7495954,1591.9406,0.18444213,1017.05975,0.3225609,-124.625,-0.7141466,2708.9258,0.11257141,956.6453,0.2986931,-127.992714,-0.6596893,-10.616898,-0.96054834,24.501644,0.44965738,0.016729638,1.295844,-0.015008308,-1.5538347,0.99426293,0.52880573,31.701046,0.41258675,2.942135,6.7656302,7.5532675,2.537488,4.987162,3.5949626,-3.7129247,10.170913,0.017997544,0.004366369,0.21437897,2.6684456,2.0763564,0.18774192,0.16205753,0.27387094,0.39212963,-15.951823
-2qsCrkXdWs.001,35.444283,0.09162045,32.832863,34.865074,38.30587,5.473007,95.90529,175.3815,21.909246,24.425034,0.6762943,0.7007293,0.2831118,0.52658224,1.0432754,0.76016355,8.639472,6.1074824,6.307892,4.3879466,0.19050457,0.96654236,10.417268,1.3841162,0.14321885,104.17513,7.1540947,2.7185736,-5.528424,-2.4577496,0.009594774,1.2670264,0.92462635,0.65021473,7.9874115,0.46393496,5.8050766,2.0205834,14.195263,0.81738657,689.6601,0.3859001,1383.1117,0.18105252,-82.031654,-1.1083219,1712.3473,0.12554654,1042.1279,0.33426887,-77.8601,-1.092008,2700.6697,0.096605755,1051.6567,0.36155605,-78.66818,-1.0730646,-8.246608,-0.7403894,16.489716,0.48273847,0.058023702,0.3486588,-0.009978104,-1.1146117,0.23561691,0.7194848,17.796799,0.54343,-0.8544805,-17.5775,9.304217,2.3386092,-7.7043133,-1.8537966,2.850653,3.042424,0.038394697,0.009242258,0.09623078,2.9352903,1.674481,0.3868,0.39890566,0.19874999,0.16867898,-25.522635
-4J4xkfN5cI.000,37.965206,0.22255537,37.09532,40.20866,42.063164,4.967842,214.2306,209.85469,126.75948,136.62837,0.7914362,0.64282495,0.44741297,0.61603266,0.99534696,0.547934,9.476083,7.684147,5.4537396,4.3038516,0.41149712,0.71964914,21.609549,0.3903434,6.6601562,1.6532427,9.254316,1.333602,3.345659,4.734407,0.016874272,1.1556205,1.1745505,0.54125214,6.33904,0.5396918,3.2153928,3.611101,14.393117,0.9239583,708.35767,0.31644142,1288.8572,0.19858369,-172.2875,-0.3684645,1703.5413,0.13706687,1002.4427,0.25781456,-163.31688,-0.43365014,2780.2837,0.09265202,1048.2695,0.48417193,-164.33813,-0.4176314,-9.246045,-0.7094232,19.085548,0.47227395,-0.016410876,-1.2531204,-0.012757006,-1.162447,0.6088059,0.76695687,23.71171,0.31608075,-2.7865436,-5.04669,7.672594,2.2225657,-10.222149,-1.5965283,-9.945977,22.702059,-0.029008072,-0.0004237564,0.36199626,2.7351568,2.2803488,0.07911764,0.08799625,0.33882353,0.37946373,-22.176296
-4J4xkfN5cI.002,37.23432,0.19701754,36.657722,39.304665,41.017235,4.3595123,425.14905,582.0532,409.30402,625.1886,0.74089575,0.50688976,0.44006616,0.63822937,0.97406197,0.5339958,8.891829,5.9508953,5.3321333,3.3048456,0.38684392,0.4889629,22.267784,0.33220875,6.7184134,1.7256143,11.635937,1.0279518,5.7640214,2.4697945,0.033147674,1.775163,1.2583965,0.54871106,6.120864,0.49573764,9.473537,1.4546981,19.363152,0.4887856,684.743,0.30686253,1353.3503,0.1608915,-168.60434,-0.39994842,1732.7446,0.12927292,1115.3495,0.38645247,-158.85568,-0.46118128,2758.778,0.1151993,970.80743,0.35856393,-160.07213,-0.44421473,-11.731917,-0.67712015,21.141254,0.49199107,-0.011177865,-2.3748608,-0.016453957,-0.84655863,0.464393,0.40596947,25.942562,0.24629407,0.0047037196,3131.8474,11.043596,1.3987947,-5.8336606,-2.255007,-11.191149,22.70687,-0.029849358,-0.0018776616,0.36496288,4.0026684,2.2088354,0.09393939,0.08153599,0.3484375,0.5236178,-23.529213
-55DRRMTppE.000,35.447582,0.22831257,33.46596,36.654728,41.13056,7.6646004,304.10544,420.9946,235.09639,674.4579,1.4483473,0.7132074,0.5928925,1.144949,2.1584702,1.5655776,19.607176,10.360319,11.135108,5.8742213,0.84637254,0.8642278,22.882256,0.35308453,-1.6612657,-8.031437,17.819723,0.9671657,-19.388407,-1.0553701,0.01864679,1.5982741,1.0587001,0.55432254,6.455461,0.4942907,11.261319,1.1084951,17.163664,0.66816944,691.1337,0.29859534,1296.0111,0.2055,-92.71269,-0.9782222,1763.382,0.13010943,993.4392,0.43891248,-88.61056,-0.9477176,2776.6963,0.08470165,903.2511,0.4343617,-87.780014,-0.9635408,-8.899702,-0.7481533,16.90811,0.5175426,0.012263383,2.4271882,-0.023314906,-0.70270133,1.0856731,0.7276502,24.742388,0.3243075,-5.1752744,-2.6907334,18.599558,0.9881736,-25.94273,-0.7289458,-8.549112,17.06685,-0.0050008036,-0.016172538,0.46464577,3.0020013,3.348962,0.1734,0.15567414,0.11391304,0.09437386,-14.498586
-55DRRMTppE.005,36.687943,0.22052963,35.093258,37.8439,41.734203,6.6409454,564.5372,1073.7836,214.89944,324.71524,1.4808303,0.6717149,0.59589934,1.2412839,2.19861,1.6027107,20.724731,11.533625,13.85109,6.4231176,0.93273324,0.8528275,20.078299,0.569588,-0.39630294,-36.572243,16.381987,1.1319804,-12.015976,-2.043132,0.020169422,1.4390267,1.162513,0.60324156,6.3954334,0.56644064,11.707611,1.0769728,17.333843,0.6926053,737.14667,0.3059747,1231.8383,0.19696176,-105.23409,-0.85087025,1810.7944,0.13458173,946.14905,0.42539525,-96.492615,-0.8622022,2831.7153,0.0827853,873.2696,0.3586418,-96.00878,-0.8721726,-8.493676,-0.9074147,17.644815,0.54712534,0.014311503,2.2222874,-0.017946811,-1.0245891,1.2282779,0.6894335,23.932604,0.38237143,-3.9146266,-3.615808,17.131191,1.1994479,-21.27603,-1.0898031,-5.545505,14.856797,-0.010687757,-0.0067700776,0.53235054,3.4689794,3.8152611,0.14157894,0.10346267,0.10884615,0.1032669,-14.053213
