split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.8904684,0.10953159,0.13733107,0.15161514,0.001
val,neuroticism,0.89199257,0.10800743,0.13772042,0.15848267,0.001
val,agreeableness,0.9006284,0.09937163,0.12862845,0.048483253,0.001
val,conscientiousness,0.8869837,0.113016315,0.14232738,0.116732955,0.001
val,openness,0.89531136,0.10468864,0.13395832,0.13605988,0.001
val,extraversion,0.8904698,0.10953024,0.13732609,0.15167648,0.003
val,neuroticism,0.89199376,0.10800621,0.13771804,0.15851188,0.003
val,agreeableness,0.90063024,0.09936976,0.12862456,0.04854077,0.003
val,conscientiousness,0.8869837,0.11301633,0.14232726,0.116734445,0.003
val,openness,0.8953131,0.10468691,0.13395391,0.13611668,0.003
val,extraversion,0.8904741,0.10952594,0.13731039,0.15187061,0.01
val,neuroticism,0.8919977,0.108002335,0.13771054,0.15860331,0.01
val,agreeableness,0.9006364,0.09936361,0.12861168,0.048731387,0.01
val,conscientiousness,0.88698375,0.113016255,0.14232653,0.116743445,0.01
val,openness,0.89531857,0.10468142,0.13393985,0.13629812,0.01
val,extraversion,0.89048547,0.10951452,0.13726999,0.1523695,0.03
val,neuroticism,0.89200807,0.10799194,0.13769026,0.15885103,0.03
val,agreeableness,0.9006525,0.09934744,0.12857802,0.049229205,0.03
val,conscientiousness,0.88698393,0.11301607,0.142325,0.11676258,0.03
val,openness,0.89533323,0.10466675,0.1339028,0.13677579,0.03
val,extraversion,0.89051926,0.10948075,0.13715976,0.15373027,0.1
val,neuroticism,0.89203835,0.10796167,0.13763244,0.1595574,0.1
val,agreeableness,0.9006805,0.09931954,0.12848237,0.050643384,0.1
val,conscientiousness,0.88698447,0.113015525,0.14231995,0.11682528,0.1
val,openness,0.89537615,0.10462385,0.1337953,0.1381613,0.1
val,extraversion,0.89057386,0.10942613,0.13699897,0.15571344,0.3
val,neuroticism,0.8920902,0.10790979,0.13753578,0.1607374,0.3
val,agreeableness,0.9007211,0.09927895,0.12832662,0.052943468,0.3
val,conscientiousness,0.8869861,0.113013946,0.14230855,0.116966784,0.3
val,openness,0.8954444,0.10455559,0.1336154,0.14047736,0.3
val,extraversion,0.8906382,0.10936181,0.13683276,0.15776074,1.0
val,neuroticism,0.8921589,0.10784109,0.13740404,0.16234463,1.0
val,agreeableness,0.90076154,0.09923845,0.12812574,0.055906296,1.0
val,conscientiousness,0.8869915,0.1130085,0.14227743,0.11735284,1.0
val,openness,0.89553505,0.10446497,0.13337155,0.14361191,1.0
val,extraversion,0.89070964,0.10929033,0.13669983,0.15939641,3.0
val,neuroticism,0.89222234,0.10777764,0.13726012,0.16409838,3.0
val,agreeableness,0.9008242,0.09917581,0.12792127,0.058917284,3.0
val,conscientiousness,0.88700783,0.11299215,0.14219762,0.11834282,3.0
val,openness,0.8956253,0.104374714,0.13311873,0.14685541,3.0
val,extraversion,0.8908597,0.10914029,0.1364725,0.1621899,10.0
val,neuroticism,0.89232355,0.107676424,0.13697873,0.16752213,10.0
val,agreeableness,0.9009811,0.09901887,0.12753221,0.06463283,10.0
val,conscientiousness,0.887075,0.11292498,0.14193761,0.12156397,10.0
val,openness,0.895784,0.10421599,0.13266517,0.1526593,10.0
val,extraversion,0.89109665,0.108903356,0.1361342,0.16633815,30.0
val,neuroticism,0.8924842,0.10751578,0.13651097,0.17319798,30.0
val,agreeableness,0.901236,0.098764025,0.12691215,0.07370621,30.0
val,conscientiousness,0.88722676,0.11277325,0.14141022,0.12807995,30.0
val,openness,0.8960261,0.10397394,0.13193654,0.16194141,30.0
val,extraversion,0.8914662,0.10853382,0.13573678,0.17119867,100.0
val,neuroticism,0.8926912,0.1073088,0.13589431,0.18065083,100.0
val,agreeableness,0.9015252,0.098474815,0.12609035,0.0856635,100.0
val,conscientiousness,0.8873851,0.112614915,0.14070119,0.1368016,100.0
val,openness,0.8963871,0.103612885,0.13085541,0.17561972,100.0
val,extraversion,0.89166677,0.10833323,0.13556984,0.17323613,300.0
val,neuroticism,0.89283025,0.107169755,0.13557833,0.1844567,300.0
val,agreeableness,0.90171546,0.09828455,0.12548277,0.09445399,300.0
val,conscientiousness,0.88725865,0.11274135,0.14040263,0.14046097,300.0
val,openness,0.8967022,0.103297845,0.12991668,0.18740511,300.0
val,extraversion,0.89158183,0.108418144,0.13567543,0.17194772,1000.0
val,neuroticism,0.8927843,0.1072157,0.1356797,0.18323666,1000.0
val,agreeableness,0.90172404,0.09827594,0.12507446,0.100337505,1000.0
val,conscientiousness,0.8868056,0.11319438,0.14051074,0.13913673,1000.0
val,openness,0.896924,0.103075996,0.12923856,0.19586593,1000.0
val,extraversion,0.8911876,0.108812414,0.13603286,0.16757894,3000.0
val,neuroticism,0.8923986,0.10760139,0.13620971,0.1768431,3000.0
val,agreeableness,0.9015552,0.09844482,0.12501812,0.10114771,3000.0
val,conscientiousness,0.88616705,0.11383293,0.14092419,0.13406324,3000.0
val,openness,0.89687574,0.10312428,0.12921521,0.19615644,3000.0
val,extraversion,0.8902111,0.10978887,0.13695666,0.15623474,10000.0
val,neuroticism,0.8911425,0.10885753,0.13738152,0.16261905,10000.0
val,agreeableness,0.90096635,0.09903363,0.12554456,0.09356195,10000.0
val,conscientiousness,0.88518745,0.114812545,0.14200298,0.12075478,10000.0
val,openness,0.89623624,0.10376378,0.13014914,0.18449455,10000.0
val,extraversion,0.88862985,0.11137017,0.13859974,0.13586783,30000.0
val,neuroticism,0.8891233,0.11087669,0.13918008,0.14055002,30000.0
val,agreeableness,0.8998658,0.1001342,0.12668376,0.077037156,30000.0
val,conscientiousness,0.88357824,0.116421744,0.14381365,0.09818941,30000.0
val,openness,0.89470506,0.10529497,0.13206999,0.16024512,30000.0
val,extraversion,0.8857877,0.114212304,0.14169,0.09690434,100000.0
val,neuroticism,0.8856806,0.11431939,0.1425251,0.09874195,100000.0
val,agreeableness,0.8982583,0.101741664,0.12855484,0.04957217,100000.0
val,conscientiousness,0.8810967,0.11890328,0.14655155,0.0635255,100000.0
val,openness,0.8913261,0.108673856,0.13574345,0.11288071,100000.0
