split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.8965631,0.10343691,0.12988876,0.2410757,0.001
val,neuroticism,0.89442784,0.10557217,0.13273427,0.21831363,0.001
val,agreeableness,0.89938104,0.10061897,0.12757131,0.06405908,0.001
val,conscientiousness,0.89219344,0.10780656,0.13642964,0.18841785,0.001
val,openness,0.8973171,0.1026829,0.12939408,0.19392943,0.001
val,extraversion,0.89656335,0.10343666,0.12988834,0.24108058,0.003
val,neuroticism,0.8944285,0.105571486,0.13273348,0.21832287,0.003
val,agreeableness,0.89938134,0.100618675,0.12757102,0.06406349,0.003
val,conscientiousness,0.8921941,0.107805885,0.13642895,0.18842584,0.003
val,openness,0.89731765,0.10268235,0.12939341,0.19393778,0.003
val,extraversion,0.896564,0.10343597,0.12988748,0.24109071,0.01
val,neuroticism,0.8944295,0.10557052,0.1327324,0.21833563,0.01
val,agreeableness,0.8993821,0.100617886,0.12757,0.06407839,0.01
val,conscientiousness,0.89219517,0.10780482,0.13642757,0.18844241,0.01
val,openness,0.8973185,0.10268151,0.12939231,0.1939516,0.01
val,extraversion,0.8965662,0.10343378,0.12988472,0.24112296,0.03
val,neuroticism,0.89443177,0.10556821,0.13272953,0.21836948,0.03
val,agreeableness,0.8993844,0.10061563,0.12756713,0.06412053,0.03
val,conscientiousness,0.8921989,0.10780109,0.13642322,0.18849409,0.03
val,openness,0.89732087,0.1026791,0.1293892,0.19399029,0.03
val,extraversion,0.8965729,0.10342713,0.12987587,0.24122632,0.1
val,neuroticism,0.89443964,0.105560385,0.13271976,0.21848464,0.1
val,agreeableness,0.8993917,0.10060829,0.12755765,0.06425947,0.1
val,conscientiousness,0.89221,0.10779001,0.13641022,0.18864864,0.1
val,openness,0.89732856,0.10267147,0.12937845,0.1941241,0.1
val,extraversion,0.89659053,0.10340948,0.12985212,0.24150378,0.3
val,neuroticism,0.8944632,0.105536826,0.13269196,0.21881181,0.3
val,agreeableness,0.89941204,0.100587934,0.1275315,0.06464338,0.3
val,conscientiousness,0.8922424,0.10775761,0.13637277,0.18909419,0.3
val,openness,0.89735043,0.10264958,0.12934846,0.19449776,0.3
val,extraversion,0.89665085,0.103349134,0.12976986,0.24246454,1.0
val,neuroticism,0.89454037,0.105459645,0.13259815,0.2199161,1.0
val,agreeableness,0.89948225,0.10051776,0.12744093,0.065971315,1.0
val,conscientiousness,0.8923514,0.10764858,0.1362452,0.19061065,1.0
val,openness,0.8974247,0.10257529,0.12924716,0.19575894,1.0
val,extraversion,0.89680415,0.103195846,0.12955856,0.24492931,3.0
val,neuroticism,0.8947454,0.10525457,0.13235545,0.22276902,3.0
val,agreeableness,0.8996628,0.100337185,0.12720852,0.06937498,3.0
val,conscientiousness,0.8926342,0.10736579,0.13591395,0.1945414,3.0
val,openness,0.8976202,0.10237977,0.1289819,0.19905674,3.0
val,extraversion,0.8971986,0.10280136,0.12900244,0.25139767,10.0
val,neuroticism,0.8952966,0.10470341,0.13170478,0.2303921,10.0
val,agreeableness,0.9001475,0.099852495,0.1265915,0.078381,10.0
val,conscientiousness,0.89339674,0.10660326,0.13502362,0.20505953,10.0
val,openness,0.8981725,0.10182752,0.12826286,0.20796198,10.0
val,extraversion,0.89775836,0.102241606,0.1280798,0.26206756,30.0
val,neuroticism,0.89620256,0.10379743,0.13059035,0.2433613,30.0
val,agreeableness,0.9008917,0.099108286,0.12557839,0.09307343,30.0
val,conscientiousness,0.89466953,0.10533045,0.1335348,0.22249347,30.0
val,openness,0.89908725,0.10091273,0.12704606,0.22291839,30.0
val,extraversion,0.89849174,0.10150823,0.12674679,0.27734792,100.0
val,neuroticism,0.897575,0.102424964,0.12892266,0.2625631,100.0
val,agreeableness,0.902024,0.09797602,0.12411208,0.114129186,100.0
val,conscientiousness,0.8964154,0.10358457,0.1314398,0.24669844,100.0
