split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.89047354,0.10952648,0.13812636,0.14176059,0.001
val,neuroticism,0.8920888,0.10791126,0.13649717,0.17336512,0.001
val,agreeableness,0.8962918,0.10370819,0.1320321,-0.0025391579,0.001
val,conscientiousness,0.8885969,0.11140308,0.14084803,0.13499892,0.001
val,openness,0.89199495,0.10800507,0.13648364,0.10317975,0.001
val,extraversion,0.89047545,0.109524526,0.13812439,0.14178497,0.003
val,neuroticism,0.8920878,0.107912205,0.13649862,0.17334759,0.003
val,agreeableness,0.89629245,0.10370752,0.13203116,-0.002524972,0.003
val,conscientiousness,0.88859653,0.111403495,0.1408474,0.13500673,0.003
val,openness,0.891997,0.10800304,0.13648158,0.103206754,0.003
val,extraversion,0.8904787,0.10952133,0.13811933,0.14184785,0.01
val,neuroticism,0.89209276,0.10790724,0.1364917,0.17343134,0.01
val,agreeableness,0.8962979,0.103702106,0.13202465,-0.0024260283,0.01
val,conscientiousness,0.88860357,0.111396424,0.14084041,0.13509262,0.01
val,openness,0.8920004,0.1079996,0.1364745,0.103299856,0.01
val,extraversion,0.89049375,0.10950628,0.13809879,0.14210308,0.03
val,neuroticism,0.89210755,0.107892446,0.13647503,0.1736334,0.03
val,agreeableness,0.8963066,0.10369344,0.1320125,-0.0022417307,0.03
val,conscientiousness,0.8886169,0.111383066,0.14082152,0.1353246,0.03
val,openness,0.89201075,0.10798926,0.13645603,0.10354245,0.03
val,extraversion,0.89053893,0.109461054,0.13803518,0.14289331,0.1
val,neuroticism,0.89214146,0.107858524,0.13643366,0.1741342,0.1
val,agreeableness,0.8963477,0.10365229,0.13195409,-0.0013549328,0.1
val,conscientiousness,0.888664,0.111336,0.14076114,0.13606584,0.1
val,openness,0.89204997,0.10795005,0.13639319,0.10436803,0.1
val,extraversion,0.8906603,0.10933974,0.13786682,0.14498276,0.3
val,neuroticism,0.89224404,0.107755944,0.1363095,0.17563659,0.3
val,agreeableness,0.89645594,0.10354408,0.13180147,0.000960052,0.3
val,conscientiousness,0.8887932,0.111206844,0.14059345,0.13812292,0.3
val,openness,0.89215153,0.10784845,0.13622987,0.10651165,0.3
val,extraversion,0.8910297,0.10897028,0.13735987,0.15125924,1.0
val,neuroticism,0.89255005,0.10744997,0.1359299,0.1802218,1.0
val,agreeableness,0.896779,0.103221,0.13134508,0.007866919,1.0
val,conscientiousness,0.88918394,0.11081608,0.14009014,0.14428276,1.0
val,openness,0.8924722,0.10752781,0.1357249,0.11312324,1.0
val,extraversion,0.8917731,0.10822688,0.13632867,0.1639548,3.0
val,neuroticism,0.89316773,0.10683226,0.1351288,0.18985587,3.0
val,agreeableness,0.89742357,0.10257642,0.13042484,0.02172041,3.0
val,conscientiousness,0.88999635,0.11000366,0.13905288,0.15690768,3.0
val,openness,0.89316607,0.10683395,0.13466273,0.12695014,3.0
val,extraversion,0.8931204,0.106879614,0.13453226,0.18584287,10.0
val,neuroticism,0.8942857,0.10571431,0.13364738,0.2075218,10.0
val,agreeableness,0.89844483,0.101555176,0.12885198,0.045173287,10.0
val,conscientiousness,0.8913344,0.108665556,0.13724795,0.17865264,10.0
val,openness,0.8945379,0.1054621,0.13268319,0.15242916,10.0
val,extraversion,0.8944625,0.10553747,0.13266732,0.20825887,30.0
val,neuroticism,0.8956018,0.104398206,0.13200174,0.22691774,30.0
val,agreeableness,0.8995063,0.10049373,0.12724909,0.06878126,30.0
val,conscientiousness,0.892614,0.10738597,0.13545331,0.199992,30.0
val,openness,0.8961304,0.103869595,0.1305035,0.18004757,30.0
val,extraversion,0.89588684,0.104113154,0.13076527,0.23079842,100.0
val,neuroticism,0.89692205,0.10307796,0.13024138,0.24739969,100.0
val,agreeableness,0.90071034,0.099289626,0.12558903,0.09291971,100.0
val,conscientiousness,0.89381194,0.10618805,0.13376088,0.21985847,100.0
val,openness,0.8979065,0.102093525,0.12826599,0.20792317,100.0
val,extraversion,0.89697087,0.10302916,0.12933035,0.24758708,300.0
val,neuroticism,0.89776933,0.10223064,0.12887557,0.26310158,300.0
val,agreeableness,0.90185755,0.09814247,0.124202095,0.11284357,300.0
val,conscientiousness,0.894768,0.105232,0.13259973,0.23334438,300.0
val,openness,0.8990926,0.10090738,0.12663612,0.227925,300.0
val,extraversion,0.89746284,0.102537155,0.12841563,0.2581926,1000.0
val,neuroticism,0.89826345,0.101736516,0.12803273,0.2727087,1000.0
val,agreeableness,0.90296125,0.097038716,0.12295088,0.13062799,1000.0
val,conscientiousness,0.8952825,0.10471752,0.1320143,0.24009883,1000.0
val,openness,0.89987886,0.10012115,0.12560864,0.24040294,1000.0
val,extraversion,0.8970194,0.10298063,0.1286598,0.25536907,3000.0
val,neuroticism,0.8979807,0.102019295,0.12839724,0.26856148,3000.0
val,agreeableness,0.90350735,0.09649262,0.12230556,0.13973004,3000.0
val,conscientiousness,0.8950014,0.104998596,0.13229945,0.23681265,3000.0
val,openness,0.8998169,0.10018313,0.12570897,0.23918903,3000.0
val,extraversion,0.89565456,0.10434546,0.13004266,0.23927623,10000.0
val,neuroticism,0.89675206,0.103247955,0.12994891,0.25077593,10000.0
val,agreeableness,0.90354395,0.09645603,0.12230828,0.13969189,10000.0
val,conscientiousness,0.89379513,0.10620489,0.13352092,0.22265518,10000.0
val,openness,0.898902,0.10109801,0.12685247,0.22528476,10000.0
val,extraversion,0.8941027,0.10589734,0.13169898,0.21977443,30000.0
val,neuroticism,0.895093,0.104906954,0.13194513,0.2275806,30000.0
val,agreeableness,0.9030821,0.09691794,0.12288872,0.13150686,30000.0
val,conscientiousness,0.8919288,0.108071186,0.13529488,0.20186228,30000.0
val,openness,0.8977089,0.10229108,0.12832522,0.20719141,30000.0
val,extraversion,0.8916788,0.10832119,0.13424109,0.18936324,100000.0
val,neuroticism,0.89215654,0.107843444,0.13503362,0.19099677,100000.0
val,agreeableness,0.9017637,0.0982363,0.124324895,0.111088455,100000.0
val,conscientiousness,0.88916826,0.11083175,0.13797352,0.1699456,100000.0
val,openness,0.89568955,0.10431044,0.13066843,0.17797399,100000.0
