split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,extraversion,0.8986228,0.10137718,0.12693396,0.275212,0.001
val,neuroticism,0.898285,0.10171502,0.12802078,0.27284455,0.001
val,agreeableness,0.90062946,0.099370554,0.12506756,0.10043669,0.001
val,conscientiousness,0.8969999,0.103000104,0.13038558,0.2587338,0.001
val,openness,0.8965716,0.10342842,0.12866357,0.20300537,0.001
val,extraversion,0.89862275,0.10137727,0.12693392,0.2752124,0.003
val,neuroticism,0.89828503,0.101715,0.12802072,0.2728452,0.003
val,agreeableness,0.9006297,0.0993703,0.1250672,0.10044187,0.003
val,conscientiousness,0.8969997,0.10300026,0.13038558,0.2587338,0.003
val,openness,0.896572,0.10342803,0.12866291,0.20301348,0.003
val,extraversion,0.89862394,0.10137604,0.12693249,0.27522892,0.01
val,neuroticism,0.8982862,0.10171376,0.12801947,0.27285928,0.01
val,agreeableness,0.9006306,0.0993694,0.12506598,0.100459516,0.01
val,conscientiousness,0.897001,0.102998994,0.1303841,0.25875056,0.01
val,openness,0.8965732,0.1034268,0.1286614,0.2030322,0.01
val,extraversion,0.8986276,0.101372436,0.12692812,0.27527863,0.03
val,neuroticism,0.8982895,0.10171049,0.1280155,0.27290428,0.03
val,agreeableness,0.9006337,0.099366285,0.12506208,0.100515604,0.03
val,conscientiousness,0.89700407,0.10299593,0.13038063,0.25879002,0.03
val,openness,0.8965772,0.103422835,0.12865674,0.2030899,0.03
val,extraversion,0.89863753,0.101362444,0.12691551,0.27542257,0.1
val,neuroticism,0.8983,0.10170002,0.12800314,0.27304482,0.1
val,agreeableness,0.90064317,0.09935682,0.12504953,0.10069615,0.1
val,conscientiousness,0.8970147,0.10298534,0.13036826,0.25893062,0.1
val,openness,0.8965896,0.103410415,0.12864129,0.20328116,0.1
val,extraversion,0.89866734,0.101332635,0.12687892,0.27584046,0.3
val,neuroticism,0.89832926,0.10167075,0.1279683,0.27344048,0.3
val,agreeableness,0.9006702,0.09932984,0.12501438,0.101201594,0.3
val,conscientiousness,0.89704484,0.10295515,0.13033272,0.25933456,0.3
val,openness,0.8966252,0.10337479,0.128598,0.20381737,0.3
val,extraversion,0.89876395,0.10123602,0.12675728,0.2772283,1.0
val,neuroticism,0.8984276,0.10157238,0.12785156,0.27476543,1.0
val,agreeableness,0.9007614,0.09923857,0.12489673,0.10289252,1.0
val,conscientiousness,0.89714426,0.102855735,0.13021563,0.26066494,1.0
val,openness,0.896744,0.103255995,0.12845297,0.20561218,1.0
