clip_id,split_official,audio_in,audio_out,orig_duration_sec,flag_short,video_path,best_stream,mono_mode,raw_wav,best_rms,best_peak
--Ymqszjv54.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\--Ymqszjv54.001.wav,output\preprocessing\preprocessed_full\--Ymqszjv54.001.wav,15.3019375,0,,,,,,
--Ymqszjv54.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\--Ymqszjv54.003.wav,output\preprocessing\preprocessed_full\--Ymqszjv54.003.wav,15.3019375,0,,,,,,
--Ymqszjv54.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\--Ymqszjv54.004.wav,output\preprocessing\preprocessed_full\--Ymqszjv54.004.wav,15.3019375,0,,,,,,
--Ymqszjv54.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\--Ymqszjv54.005.wav,output\preprocessing\preprocessed_full\--Ymqszjv54.005.wav,15.3019375,0,,,,,,
-2qsCrkXdWs.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-2qsCrkXdWs.001.wav,output\preprocessing\preprocessed_full\-2qsCrkXdWs.001.wav,15.3019375,0,,,,,,
-55DRRMTppE.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-55DRRMTppE.000.wav,output\preprocessing\preprocessed_full\-55DRRMTppE.000.wav,15.3019375,0,,,,,,
-55DRRMTppE.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-55DRRMTppE.005.wav,output\preprocessing\preprocessed_full\-55DRRMTppE.005.wav,15.3019375,0,,,,,,
-5riMLK-PgU.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-5riMLK-PgU.001.wav,output\preprocessing\preprocessed_full\-5riMLK-PgU.001.wav,15.3019375,0,,,,,,
-6otZ7M-Mro.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-6otZ7M-Mro.000.wav,output\preprocessing\preprocessed_full\-6otZ7M-Mro.000.wav,15.3019375,0,,,,,,
-6otZ7M-Mro.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-6otZ7M-Mro.001.wav,output\preprocessing\preprocessed_full\-6otZ7M-Mro.001.wav,15.3019375,0,,,,,,
-8asrRvfJWA.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-8asrRvfJWA.003.wav,output\preprocessing\preprocessed_full\-8asrRvfJWA.003.wav,15.3019375,0,,,,,,
-8asrRvfJWA.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-8asrRvfJWA.004.wav,output\preprocessing\preprocessed_full\-8asrRvfJWA.004.wav,15.3019375,0,,,,,,
