clip_id,speech_sec,voiced_ratio,n_seg
--Ymqszjv54.001,12.418,0.8278666666666666,6
--Ymqszjv54.003,11.036,0.7357333333333334,8
--Ymqszjv54.004,9.768,0.6512,6
--Ymqszjv54.005,10.392,0.6928,9
-2qsCrkXdWs.001,13.434,0.8956,8
-55DRRMTppE.000,12.624,0.8416,3
-55DRRMTppE.005,12.966,0.8644,5
-5riMLK-PgU.001,11.396,0.7597333333333334,7
-6otZ7M-Mro.000,14.998,0.9998666666666666,1
-6otZ7M-Mro.001,14.05,0.9366666666666668,6
-8asrRvfJWA.003,14.966,0.9977333333333332,1
-8asrRvfJWA.004,12.35,0.8233333333333334,7
-9BZ8A9U7TE.000,14.574,0.9716,3
-9BZ8A9U7TE.003,12.966,0.8644,5
-9BZ8A9U7TE.004,14.03,0.9353333333333332,3
-AmMDnVl4s8.003,13.646,0.9097333333333334,3
-C5M9g4Quzc.002,13.842,0.9228,4
-DOqN0d8KHw.002,13.294,0.8862666666666666,3
-DOqN0d8KHw.003,13.03,0.8686666666666666,5
-Gl98Jn45Fs.000,12.294,0.8196,5
-Gl98Jn45Fs.001,13.45,0.8966666666666666,4
-Gl98Jn45Fs.003,14.574,0.9716,3
-IK--4uz5ZY.000,13.664,0.9109333333333332,7
-IK--4uz5ZY.002,13.158,0.8772,5
-IK--4uz5ZY.003,13.894,0.9262666666666668,5
-IK--4uz5ZY.004,13.836,0.9224,4
-N6QKrbnaDs.005,5.532,0.3688,1
-NwfYYf5xLo.005,13.706,0.9137333333333332,4
-OXMbG7ZwRk.000,14.122,0.9414666666666668,4
-OXMbG7ZwRk.003,14.346,0.9564,4
-OXMbG7ZwRk.004,13.638,0.9092,5
-OXMbG7ZwRk.005,14.836,0.9890666666666666,2
-Osv5l1vrNU.001,13.154,0.8769333333333333,6
-Osv5l1vrNU.004,14.026,0.9350666666666666,4
-R2SZu3SYgM.000,13.254,0.8835999999999999,5
-R2SZu3SYgM.004,13.52,0.9013333333333332,4
-RhPxhfpg4U.001,11.912,0.7941333333333334,6
-RhPxhfpg4U.003,13.866,0.9244,4
-RhPxhfpg4U.005,13.03,0.8686666666666666,5
-VTqcHNgH7M.002,14.77,0.9846666666666668,2
-VTqcHNgH7M.003,14.384,0.9589333333333332,3
-VTqcHNgH7M.004,15.0,1.0,1
-Wqk9eex6bQ.002,11.66,0.7773333333333333,5
-Wqk9eex6bQ.003,12.742,0.8494666666666667,5
-Wqk9eex6bQ.004,13.74,0.916,4
-Wqk9eex6bQ.005,13.364,0.8909333333333334,3
-aU2FN5pkWA.001,13.272,0.8848,2
-aU2FN5pkWA.004,12.294,0.8196,5
-agCXYgb7pI.004,14.028,0.9352,4
-awAu11kBZ0.000,14.638,0.9758666666666668,3
-c2HtptBFxY.002,14.736,0.9824,3
-c_tyGzShwk.004,14.966,0.9977333333333332,1
-fXqnCljdm0.000,13.32,0.888,5
-fXqnCljdm0.003,12.646,0.8430666666666667,5
-fqiCqZtgYs.001,14.606,0.9737333333333332,3
-fqiCqZtgYs.002,14.482,0.9654666666666666,2
-fqiCqZtgYs.003,14.028,0.9352,4
-mt-IKgGhuY.004,14.19,0.946,3
-utrsarZeIY.001,12.93,0.862,6
-utrsarZeIY.004,12.326,0.8217333333333333,5
-zNyDPzId4E.001,13.452,0.8968,5
-zNyDPzId4E.003,12.414,0.8276,7
01qN-BqJXRM.005,13.996,0.9330666666666668,4
04oq2yrBwMg.001,13.092,0.8728,6
04oq2yrBwMg.004,7.272,0.4848,6
05l5bteT_qA.000,12.934,0.8622666666666666,5
05l5bteT_qA.001,13.258,0.8838666666666666,4
0C6i34q2-f8.000,10.182,0.6788000000000001,5
0C6i34q2-f8.001,10.698,0.7132000000000001,4
