clip_id,gt_extraversion,gt_neuroticism,gt_agreeableness,gt_conscientiousness,gt_openness,pred_extraversion,pred_neuroticism,pred_agreeableness,pred_conscientiousness,pred_openness,abs_err_extraversion,abs_err_neuroticism,abs_err_agreeableness,abs_err_conscientiousness,abs_err_openness,mae_per_sample,embedding_row_index,embedding_norm_raw,distance_to_train_centroid_scaled,pc1,pc2,error_group
-10-QQDO_ME.001,0.53271025,0.41666666,0.5494506,0.5631068,0.65555555,0.37139654,0.3653644,0.41967764,0.4256627,0.47695255,0.16131371000000005,0.051302260000000044,0.12977296,0.1374441,0.178603,0.131687206,0,2.2799268,37.291237,-12.525508,12.859377,middle_80pct
-10-QQDO_ME.002,0.5794392,0.53125,0.6703297,0.5825243,0.65555555,0.36630604,0.33982724,0.44032192,0.3874482,0.45275003,0.21313316000000004,0.19142276000000003,0.23000778000000005,0.19507609999999997,0.20280551999999996,0.20648906400000003,1,2.3023176,43.018574,-16.526968,22.493595,highest_error_10pct
-10-QQDO_ME.005,0.53271025,0.5520833,0.51648355,0.61165047,0.6333333,0.4697672,0.44363466,0.47227407,0.42012286,0.53988796,0.06294305000000006,0.10844864000000004,0.04420948000000002,0.19152760999999996,0.09344534000000004,0.10011482400000002,2,2.1428304,30.384827,-17.906893,-1.2305492,middle_80pct
-IK--4uz5ZY.000,0.5794392,0.5625,0.6043956,0.6796116,0.5888889,0.5714671,0.6034267,0.60384667,0.5806883,0.6589811,0.007972100000000037,0.04092669999999998,0.000548930000000003,0.09892329999999994,0.07009219999999994,0.04369264599999998,3,1.9342712,20.061811,2.1244836,-1.5524594,lowest_error_10pct
-IK--4uz5ZY.002,0.5420561,0.6354167,0.52747256,0.66019416,0.56666666,0.54719937,0.5528591,0.5617146,0.48861393,0.65013105,0.005143269999999922,0.0825575999999999,0.034242039999999974,0.17158023,0.08346439000000005,0.07539750599999998,4,1.9531673,20.733658,1.4381803,-0.8482412,middle_80pct
-IK--4uz5ZY.003,0.6448598,0.6770833,0.7032967,0.66019416,0.74444443,0.531771,0.5593896,0.591248,0.55856866,0.59156287,0.11308879999999999,0.11769370000000001,0.1120487,0.10162549999999992,0.15288156000000008,0.11946765200000001,5,1.9424559,23.898102,1.2159373,-3.3301914,middle_80pct
-IK--4uz5ZY.004,0.74766356,0.6770833,0.74725276,0.6893204,0.8111111,0.54111886,0.58059067,0.59481317,0.57952577,0.61775786,0.20654470000000003,0.09649263000000008,0.15243958999999996,0.10979463,0.19335323999999998,0.15172495800000002,6,1.854235,22.070261,1.5772194,0.37725356,middle_80pct
-KtFfRqPFXA.003,0.5607477,0.6354167,0.64835167,0.6407767,0.64444447,0.41142356,0.5021303,0.5554837,0.52150613,0.522233,0.14932413999999994,0.13328639999999992,0.09286797000000002,0.11927056999999996,0.1222114700000001,0.12339210999999999,7,2.0839121,23.570349,5.5276423,4.4846683,middle_80pct
-R2SZu3SYgM.000,0.22429906,0.16666667,0.1978022,0.19417475,0.5777778,0.45672965,0.50140417,0.5437864,0.50107306,0.5486561,0.23243059,0.3347375,0.34598419999999996,0.30689830999999995,0.029121700000000028,0.24983446000000004,8,2.2199419,24.784086,10.455574,3.7092826,highest_error_10pct
-R2SZu3SYgM.001,0.17757009,0.21875,0.26373628,0.17475729,0.37777779,0.48762065,0.5607118,0.5440919,0.5430673,0.6058192,0.31005056,0.3419618,0.28035561999999997,0.36831001,0.22804141,0.30574387999999997,9,2.0613942,24.241556,9.203012,1.3341408,highest_error_10pct
-R2SZu3SYgM.002,0.317757,0.26041666,0.17582418,0.19417475,0.41111112,0.42423105,0.49754453,0.5185914,0.49319145,0.4938963,0.10647404999999999,0.23712786999999996,0.34276722000000004,0.29901669999999997,0.08278518000000001,0.21363420399999997,10,2.006891,24.206059,4.0619864,0.42305765,highest_error_10pct
-R2SZu3SYgM.003,0.26168224,0.32291666,0.2967033,0.21359223,0.3888889,0.39470693,0.45692927,0.52416503,0.53441745,0.54180294,0.13302469,0.13401260999999998,0.22746173000000003,0.32082521999999997,0.15291403999999997,0.193647658,11,2.0728786,28.27626,8.01638,5.1534495,highest_error_10pct
-R2SZu3SYgM.004,0.3364486,0.42708334,0.37362638,0.29126215,0.5888889,0.4687411,0.521973,0.5514046,0.5169411,0.5822691,0.13229250000000004,0.09488966000000004,0.17777822000000004,0.22567895000000004,0.0066198000000000645,0.12745182600000005,12,1.9930964,21.362213,6.971441,1.2506744,middle_80pct
-RqxrwIxMvE.002,0.5981308,0.48958334,0.51648355,0.5145631,0.51111114,0.5050392,0.5335207,0.5518809,0.57931674,0.58708984,0.09309159999999994,0.04393735999999998,0.035397349999999994,0.06475363999999995,0.07597869999999995,0.06263172999999997,13,1.9563245,27.854267,-8.570467,-7.8067827,middle_80pct
-RqxrwIxMvE.004,0.6448598,0.6354167,0.6923077,0.61165047,0.73333335,0.52705467,0.5230309,0.58821976,0.55533606,0.6065973,0.11780513000000004,0.11238579999999998,0.10408793999999999,0.056314409999999926,0.12673605,0.10346586599999999,14,2.002714,23.949461,-0.13141334,-1.7697929,middle_80pct
-Wqk9eex6bQ.000,0.42056075,0.5208333,0.5604396,0.592233,0.5222222,0.31797594,0.3768016,0.4590096,0.5049604,0.41515723,0.10258480999999997,0.14403170000000004,0.10143000000000002,0.08727260000000003,0.10706496999999998,0.108476816,15,2.0147738,26.131618,9.262145,4.159384,middle_80pct
-Wqk9eex6bQ.001,0.41121495,0.6875,0.51648355,0.592233,0.5777778,0.37723273,0.44273594,0.48647815,0.55930436,0.4581732,0.03398222000000001,0.24476406,0.030005400000000015,0.032928640000000065,0.1196046,0.09225698400000001,16,1.9690609,25.793592,7.9254923,5.254152,middle_80pct
-Wqk9eex6bQ.002,0.41121495,0.4375,0.4945055,0.57281554,0.44444445,0.32128578,0.39373255,0.46664572,0.5122805,0.4233505,0.08992917,0.043767449999999986,0.02785978,0.060535039999999984,0.021093949999999972,0.048637077999999986,17,2.0537417,27.372585,8.008894,6.79459,middle_80pct
-Wqk9eex6bQ.003,0.5046729,0.40625,0.3846154,0.5533981,0.5222222,0.34834528,0.3727665,0.47192794,0.50291926,0.40690488,0.15632762,0.0334835,0.08731254,0.050478840000000025,0.11531731999999995,0.08858396399999999,18,2.0584443,25.420942,5.481664,7.123145,middle_80pct
-Wqk9eex6bQ.004,0.2897196,0.3125,0.43956044,0.63106793,0.4,0.29841837,0.37629542,0.47431576,0.53085035,0.39128593,0.008698769999999967,0.06379541999999999,0.03475531999999998,0.10021758000000003,0.008714070000000018,0.043236232,19,1.9679233,23.540731,7.6522427,2.332128,lowest_error_10pct
-Wqk9eex6bQ.005,0.37383178,0.46875,0.4945055,0.60194176,0.44444445,0.3799865,0.43965077,0.5127555,0.54169077,0.43751478,0.006154720000000002,0.029099229999999976,0.018250000000000044,0.060250990000000004,0.006929669999999999,0.024136922000000005,20,1.9425229,25.495417,5.6732235,3.273622,lowest_error_10pct
-agCXYgb7pI.000,0.45794392,0.5520833,0.61538464,0.7281553,0.7,0.36586702,0.4131637,0.5129635,0.4725814,0.46081832,0.09207690000000002,0.13891960000000003,0.10242114000000002,0.25557389999999996,0.23918167999999995,0.165634644,21,2.0082169,27.786993,0.4383554,-0.043164343,middle_80pct
-agCXYgb7pI.001,0.40186915,0.5833333,0.6043956,0.61165047,0.56666666,0.3331229,0.39936218,0.48646814,0.44019353,0.4404502,0.06874625000000001,0.18397112000000004,0.11792746000000004,0.17145693999999995,0.12621645999999997,0.133663646,22,1.9809763,26.25274,-1.5220615,-2.4966676,middle_80pct
-agCXYgb7pI.002,0.47663552,0.59375,0.72527474,0.5145631,0.54444444,0.32480225,0.37746844,0.49629143,0.43047118,0.40607446,0.15183326999999996,0.21628155999999998,0.22898331000000005,0.08409192000000004,0.13836998,0.163912008,23,2.0827024,27.96171,-1.679946,-0.1962057,middle_80pct
-agCXYgb7pI.004,0.43925235,0.5416667,0.6043956,0.6407767,0.44444445,0.38469636,0.457568,0.5285763,0.50321215,0.49225616,0.05455599,0.08409869999999997,0.07581930000000003,0.13756455,0.04781171000000001,0.07997005,24,2.0050824,25.07544,-0.553682,-1.6618537,middle_80pct
-m5QCnnp-vI.000,0.46728972,0.5520833,0.51648355,0.63106793,0.5555556,0.56485116,0.5958099,0.5937848,0.63962835,0.6379187,0.09756144,0.04372659999999995,0.07730124999999999,0.008560419999999902,0.08236309999999991,0.06190256199999995,25,1.8582242,24.699705,3.7150154,-3.3146486,middle_80pct
-utrsarZeIY.001,0.5046729,0.45833334,0.5824176,0.57281554,0.62222224,0.51054674,0.52112246,0.543482,0.4914278,0.5889207,0.005873840000000019,0.06278911999999998,0.03893559999999996,0.08138773999999999,0.033301540000000074,0.044457568,26,2.0312672,26.884678,-13.897167,-7.311507,middle_80pct
